1	australia; care; check; labor; mp; network; tony; video
2	candidate; important; labor; null
3	click; federal; funding; getting; local; null; photos; please; services; support; timeline
4	australian; null; photos; queensland; timeline
5	economy; facts; null; photos; record; timeline
6	check; click; coalition; labor; nbn; share
7	business; million; nbn; null; photos; timeline
8	click; continue; facts; gillard; give; julia; life; morning; pay; pm; read; share; think; today; young
9	labor; null; photos; timeline
10	disability; gillard; help; insurance; julia; national; pay; share; young
11	action; address; assistance; australia; australian; click; disability; getting; insurance; national; opportunity; scheme; share; support
12	announced; disability; funding; help; insurance; labor; national; null; photos; services; share; timeline; today
13	australia; click; friends; program; progressive; share; young
14	check; going; null; photos; swan; timeline; wayne
15	abbott; conference; federal; liberal; press; tony
16	abbott; australia; change; conference; cost; press; share; sure; tony
17	abbott; click; election; fair; gillard; labor; null; photos; read; share; swan; timeline
18	null; photos; please; share; timeline
19	education; funding; give; null; photos; support; system; timeline
20	continue; funding; null; photos; timeline
21	null; photos; timeline
22	education; gillard; julia; kids; link; minister; null; plan; prime
23	null; photos; timeline
24	debate; facts; give; labor; null; party; photos; timeline
25	null; photos; timeline
26	null; photos; plan; school; share; support; timeline
27	broadband; country; future; help; national; network; policy; support
28	broadband; nbn; null; photos; timeline; tony
29	broadband; null; photos; share; think; timeline
30	null; photos; plan; timeline
31	abbott; getting; going; join; keep; labor; nsw; null; people; photos; sure; timeline; tony; young
32	null; photos; timeline
33	click; null; photos; record; share; timeline
34	null; photos; timeline
35	facts; null; photos; share; timeline
36	check; null; photos; timeline; work
37	abbott; australia; economic; facts; null; photos; share; timeline; tony
38	abbott; help; keep; labor; nsw; null; photos; timeline; tony; young
39	liberal; null; party; people; photos; record; timeline
40	australia; click; help; labor; null; people; photos; services; timeline
41	care; labor; null; photos; timeline
42	families; jenny; live; minister; null; people; photos; timeline
43	business; carbon; government; null; photos; pollution; price; share; timeline
44	assistance; children; cost; families; help
45	campaign; help; join; labor; local; null; photos; timeline
46	help; keep; null; photos; timeline
47	funding; null; photos; timeline
48	click; friends; jobs; latest; million; null; photos; share; timeline
49	click; fair; gillard; julia; pay; public; share; work
50	better; labor; null; photos; timeline
51	null; photos; timeline
52	care; labor; swan; values; video; wayne; work; years
53	federal; government; labor; speech; years
54	andrew; mp; null; photos
55	around; international; julia; minister; opportunity; prime; today; women
56	economic; null; photos; timeline; world
57	aged; care; null; pay; photos; timeline; workers
58	null; outlined; photos; pm; timeline
59	australian; labor; news; party; passed; photos
60	sydney; video
61	friends; labor; null; photos; share; timeline
62	community; nsw; services; social
63	null; photos; social; timeline
64	australian; best; better; give; government; help; resources; school; students; support
65	announced; gillard; julia; null; photos; pm; students; timeline
66	deliver; null; pm; public; school
67	nbn; null; photos; think; timeline
68	announced; carbon; null; photos; price; timeline; week
69	null; photos; please; sure; timeline; vote
70	news; null; photos; timeline
71	campaign; help; industry; labor; live; share; sign; years
72	health; minister; null; photos; program; school; timeline; work
73	address; gillard; julia; labor; null; photos; pm; sydney; timeline
74	australia; carbon; change; click; climate; friends; president; price; share; state; talk
75	bill; null; photos
76	around; null; photos; record; timeline; world
77	best; build; government; including; null; photos; timeline
78	australian; labor; null; party
79	click; null; photos; plan; sign; timeline; tony
80	deliver; education; gillard; julia; null; photos; pm; share; support; timeline; today; years
81	null; pay; photos; timeline
82	bill; mp; null; photos; timeline
83	announced; election; federal; help; join; labor; null; pm
84	carbon; null; photos; price; timeline
85	null; photos; timeline
86	children; school
87	address; australia; australian; disability; funding; insurance; national; record
88	null; photos; timeline
89	australia; australian; budget; carbon; economy; mining; tax
90	keep; null; photos; timeline; tony
91	economy; facts; minister
92	announced; gillard; julia; mp; prime; read; today
93	australian; families; null; page; questions
94	australian; care; community; help; people; please; support
95	null
96	important; international; labor; launch; minister; national; opportunity; pm; prime; speech; today; years
97	disability; insurance; national; news; nsw; null; photos; timeline
98	gillard; help; julia; null; pm; world
99	australian; better; bill; click; education; gillard; julia; kids; null; photos; plan; share; timeline; today
100	cuts; local; null; photos; queensland; share; sign; spread; timeline
101	campaign; candidate; going; labor; morning; null; people; photos; timeline
102	australia; billion; government; home; industry; labor; news; parliament; passed; trade; world
103	click; including; read
104	better; give; null; people; photos; timeline
105	
106	null; sure; swan; treasurer; wayne
107	null
108	election; government; years
109	aged; null; week
110	change; check; climate; energy; help; labor; minister; share; spread; support; video
111	australia; campaign; click; null
112	carbon; going; liberal; parliament; party; price; share
113	australian; click; federal; gillard; government; labor; plan; share; support; system
114	australian; null; page
115	null; photos; prime; timeline
116	julia; students
117	gillard; julia; null; photos; timeline
118	
119	cuts; education; null; school; students; support
120	labor; legislation; members; parliament; platform
121	budget; nsw; sydney; week
122	labor; liberal; nsw; party; state; think
123	leader; opposition; public
