" What to expect in next week's Federal Budget Have a look at Joe Hockey’s new video: What to expect in next week's Labor Budget:  http://lbr.al/d7y1  \n\nYou can be sure of one thing:  that the numbers released by Labor & Wayne Swan on Tuesday night won’t be the truth about the real state of the nation’s finances.\n\nClick ‘SHARE’ if you support Joe Hockey and the Coalition. Only the Coalition has a plan for a stronger budget, a stronger economy and a stronger Australia " 	australia; budget; coalition; economy; federal; hockey; joe; labor; plan; real; stronger; support; sure; swan; wayne
" Household Assistance Broken Promise Another day, yet another Labor broken promise – and it’s Australian families and businesses which are picking up the bill.   http://lbr.al/f57a\n\nClick ‘LIKE’ and ‘SHARE’ if you've had enough of Labor’s broken promises. null " 	australian; broken; families; labor; null; promise
" The Headless Chooks in 'The Gillard Experiment' Labor are more concerned with the next coup in their chicken coop than the concerns of the Australian community. Each day, Labor’s chook house is becoming more out-of-touch and is an experiment gone terribly wrong.\n\nWatch our new ad here: http://lbr.al/headlesschooks Visit http://headlesschooks.org.au to find out more " 	ad; australian; concerns; gillard; house; labor
" Labor & Julia Gillard FAILURE: $12 Billion Budget hole (CLICK HERE TO VIEW) PM Gillard said 'failure is not an option'. \n\nStand up against Labor’s Budget failure, sign up here: http://lbr.al/laborfail $12 Billion Budget hole, a failure by Julia Gillard & Labor  " 	billion; budget; failure; gillard; julia; labor; pm
" Standard & Poor's has put Australia on notice Standard & Poor's has put Australia on notice - Labor's broken promise to deliver a surplus in 2013 threatens Australia's credit rating http://lbr.al/5hbq\n\nPlease click 'Share' http://www.liberal.org.au/nations-credit-rating-under-threat-without-pledge-cut-deficit " 	australia; broken; click; deliver; promise; surplus
" Timeline Photos It will be your kids who repay the $94 billion of NBN debt.  Find out more about the Coalition’s NBN plan at http://lbr.al/nbn null " 	billion; null; plan
" Tony Abbott Press Release - Passing of The Rt Hon. Baroness Thatcher - Liberal Party of Australia  Margaret Thatcher was one of the greatest British prime ministers and one of the most significant world leaders of our times. " 	abbott; australia; liberal; party; press; prime; release; tony; world
" Friend, today Labor hit Australians with yet more taxes Labor is trying to plug its Budget black hole with yet more taxes.\n \nWith Labor now paying almost $7 billion a year in interest on their debt you can be guaranteed that a re-elected Labor government will continue to raid Australians’ superannuation accounts for many years to come http://lbr.al/99d0 null " 	billion; budget; continue; debt; government; hit; interest; labor; null; today; year
" Labor = Debt = Cuts to Super | Register for updates Labor is raiding your superannuation because they can’t manage the Budget!  Register your opposition to Labor’s plans to gut superannuation at http://lbr.al/super null " 	debt; labor; null; opposition
" Labor's class of 2010 With Labor's class of 2010 disappearing quickly, who do you think will be next?  http://lbr.al/spill null " 	null; think
" This is no way to govern the country After the events of the last 24 hours, it is clear there is a deep, irreconcilable split in the Australian Labor Party.\n\nThe resignation of five frontbenchers in just a day demonstrates that, despite Julia Gillard’s claims to the contrary, the matter has not ended.  http://lbr.al/1t5o null " 	australian; country; events; julia; labor; matter; null
" Australians deserve better than Labor's chaos and dysfunction Today's events in Canberra continue the chaos and division Australians have come to expect from Labor.\n\nAustralians deserve a government that is focused on the national interest, not on its own survival.\n\nOnly the Coalition has the positive plans and experienced, united team to restore the stability and certainty Australia needs.   http://lbr.al/02kc null " 	australia; better; canberra; coalition; continue; events; government; national; null; positive
" Crean on Rudd 12 months ago, Simon Crean said this about Kevin Rudd ... null " 	kevin; months; null; rudd
" Lemon - Déjà vu The faceless men are at it again.\n\nIt doesn't really matter who leads the Labor Party – Labor will remain divided and dysfunctional and nothing will change. Watch our new video at http://lbr.al/lemon At a time when the Government should be solely focused on putting a Budget together, Labor is instead completely distracted by deals and backstabbing over its leadership. " 	budget; government; labor; matter; nothing; party; video; watch
