" Australia's Marine Park Network Check out this video on how Labor is protecting the Coral Sea launched by Tony Burke MP and Sir Richard Branson today. If you care about protecting the Coral Sea as part of the world's largest network of marine reserves, go to http://bit.ly/18xvaTM Australia has established the world's largest network of marine reserves. After much consultation 59 marine special marine parks will now protect over 3.1 mi... " 	australia; care; check; labor; mp; network; tony; video
" May 7, 2013 7:47pm This is the cutest thing you'll see today, but it carries an important message! Steve Mcmahon - Labor Candidate for Barton's daughter Elouise is clearly fired up and ready to go - are you?\n\nIf you are, go to https://nswlabor.wufoo.eu/forms/are-you-in/ and make a difference this election.  null " 	candidate; important; labor; null
" Timeline Photos If you support local services like libraries getting funding from federal government, please CLICK SHARE. A referendum on September 14 will decide whether to recognise local councils in the Constitution.  null " 	click; federal; funding; getting; local; null; photos; please; services; support; timeline
" Timeline Photos With Queensland signing up to DisabilityCare, we're much closer to every Australian being covered.   null " 	australian; null; photos; queensland; timeline
" Timeline Photos Record low interest rates, a growing economy and 3 AAA ratings from independent agencies. They're the facts on Australia's economy.  null " 	economy; facts; null; photos; record; timeline
" How Fast is the NBN? Check this out and make your own mind up on what's possible with the NBN.  Click SHARE to show your friends. How do the Labor and Coalition NBN plans compare? " 	check; click; coalition; labor; nbn; share
" Timeline Photos 1.3 million more homes and business have been added to the updated 3-year NBN plan. See when you'll get the NBN at http://www.nbnco.com.au/  null " 	business; million; nbn; null; photos; timeline
" EXCLUSIVE: PM Julia Gillard explains why she needs you to give her $300. “I’m happy to pay $300 a year to ensure that whatever your life circumstances turn out to be, you can continue to buy your morning coffees instead of your own wheelchair.”\n\nThe PM quotes Stella Young in her Mamamia piece today and shares some facts about DisabilityCare Australia. CLICK SHARE \n\nhttp://www.mamamia.com.au/news/julia-gillard-disabilitycare/    By JULIA GILLARDThere are millions of words and thousands of articles published every day in Australia, in newspapers and online.Only a few make you stop what you are doing and read them again – and only a very few make you think " 	click; continue; facts; gillard; give; julia; life; morning; pay; pm; read; share; think; today; young
" Timeline Photos It's what Labor does.  null " 	labor; null; photos; timeline
" $300 for Julia Gillard's NDIS scheme? Please, my wheelchair costs $22,000 '$300 for Labor's DisabilityCare scheme? Please, my wheelchair costs $22,000.' Share this very compelling article by advocate Stella Young about why we need a national disability insurance scheme. JULIA Gillard is considering increasing the Medicare levy to help pay for the National Disability Insurance Scheme. Disability advocate Stella Young explains why we should stump up $300. " 	disability; gillard; help; insurance; julia; national; pay; share; young
" The time has come for the NDIS - Kurt Fearnley Athlete Kurt Fearnley gave an Australia Day address calling for urgent action on disability care. Every Australian with a disability should have the support and assistance they need and the opportunity they deserve. CLICK SHARE to show your support for getting this done. http://www.youtube.com/watch?v=R4_W9NlD8BQ&feature=youtu.be Speculation is running high about how the National Disability Insurance Scheme will be funded and whether Australia can afford it. Athlete Kurt Fearnley gave... " 	action; address; assistance; australia; australian; click; disability; getting; insurance; national; opportunity; scheme; share; support
" Timeline Photos Labor built Medicare to help Australians when they get sick. Today Labor has announced a transformation of disability services by building and locking in funding for DisabilityCare Australia, the national disability insurance scheme. Share this image to show your support.   null " 	announced; disability; funding; help; insurance; labor; national; null; photos; services; share; timeline; today
" Young Progressive Leaders Program | Chifley Research Centre Under 25 and want to learn from the progressive campaigners in Australia? Applications are open for the Young Progressive Leaders Program run by the Chifley Research Centre. See below to get involved and click share if you have friends who'd be interested! Chifley Research Centre / Young Progressive Leaders Program Young Progressive Leaders ProgramProgressive Australia is very pleased to open applications for the Young Progressive Leaders Program for 2013.We started the Young Progressive Leaders Program in 2011 because we’re big believers in investing... " 	australia; click; friends; program; progressive; share; young
" Timeline Photos Check out why Wayne Swan and his daughter Erinn are supporting White Shirt Day at http://bit.ly/14KqNoY - you can too by buying a white shirt at Witchery tomorrow with all profits going to Ovarian Cancer Research Foundation (OCRF).  null " 	check; going; null; photos; swan; timeline; wayne
" Fresh concerns on Liberal GST plans Tony Abbott visited Adelaide on Friday and literally walked away from a press conference when he was asked about his plans for the GST. Here's the footage.\n\nhttp://www.abc.net.au/news/2013-04-26/fresh-concerns-on-liberal-gst-plans/4654680?section=tas There are fresh concerns about the Federal Opposition's GST plans for Tasmania. " 	abbott; conference; federal; liberal; press; tony
" What will Tony Abbott cost Tasmania? Did you see Tony Abbott just walk away from a press conference on Friday when asked about his plans to change the GST? This ad goes on TV tonight in Tasmania. SHARE it if you want to make sure everyone knows that under Tony Abbott, the GST is on the table.\n\nhttp://www.youtube.com/watch?v=8V3OYFJYc4Q You've probably heard Tony Abbott saying one thing to Tasmanians and another to Western Australia about how he would divvy up the GST. Here's what he actuall... " 	abbott; australia; change; conference; cost; press; share; sure; tony
" Timeline Photos @Wayne Swan argues that this election is not Gillard v Abbott or Labor v Liberal, but a referendum on the fair go. Read his heartfelt defence of the fair go at http://chifley.org.au/opinion/fair-go-under-fire/ and CLICK SHARE if want to protect the fair go for all Australians.  null " 	abbott; click; election; fair; gillard; labor; null; photos; read; share; swan; timeline
" Timeline Photos Please share to get the truth out about our economy.  null " 	null; photos; please; share; timeline
" Timeline Photos Premiers and Chief Ministers meet on Friday to decide whether they'll support the biggest injection of funding into our education system we've ever seen. Do you give a Gonski?  null " 	education; funding; give; null; photos; support; system; timeline
" Timeline Photos Funding for unis has gone up under Labor, and will continue to.\n  null " 	continue; funding; null; photos; timeline
" Timeline Photos Get in.  null " 	null; photos; timeline
" Bst 20130415 0731 Listen to the Prime Minister Julia Gillard explain how and why Labor's education plan is vital for our future. Here's an unedited link to her interview with ABC Radio National's Fran Kelly this morning... \"Surely it's not too much to ask [the states] to put kids first. (JG)\"  null " 	education; gillard; julia; kids; link; minister; null; plan; prime
" Timeline Photos   null " 	null; photos; timeline
" Timeline Photos Labor is the only party that properly invests in higher education: Let's let the facts give the perspective we need for an educated debate on education! Like and share.   null " 	debate; facts; give; labor; null; party; photos; timeline
" Timeline Photos   null " 	null; photos; timeline
" Timeline Photos Labor's plan for school improvement has been described as a once in a generation chance to properly resource ALL our classrooms, teachers and kids. Share this image and support the plan!  null " 	null; photos; plan; school; share; support; timeline
" Yes We Canberra! | The Coalition's Broadband Policy | Wednesdays, 9.45pm ABC1 The Chaser's cheeky take on the Coalition's broadband policy! Like and share, and help support Labor's NBN. The Chaser's YES WE CANBERRA! has a message for the Coalition's proposed National Broadband Network -- for the future of the country don't miss it -- it's fa... " 	broadband; country; future; help; national; network; policy; support
" Timeline Photos How fast and how far Labor's NBN goes compared to Tony Abbott's broadband plan.  null " 	broadband; nbn; null; photos; timeline; tony
" Timeline Photos Like and Share if you think high-speed fibre broadband should be connected for free for all Australians.  null " 	broadband; null; photos; share; think; timeline
