1	australia; budget; coalition; economy; federal; hockey; joe; labor; plan; real; stronger; support; sure; swan; wayne
2	australian; broken; families; labor; null; promise
3	ad; australian; concerns; gillard; house; labor
4	billion; budget; failure; gillard; julia; labor; pm
5	australia; broken; click; deliver; promise; surplus
6	billion; null; plan
7	abbott; australia; liberal; party; press; prime; release; tony; world
8	billion; budget; continue; debt; government; hit; interest; labor; null; today; year
9	debt; labor; null; opposition
10	null; think
11	australian; country; events; julia; labor; matter; null
12	australia; better; canberra; coalition; continue; events; government; national; null; positive
13	kevin; months; null; rudd
14	budget; government; labor; matter; nothing; party; video; watch
15	abbott; australia; australian; better; canberra; economic; government; important; liberal; parliament; party; plan; public; real; shadow; solutions; today; tony; week
16	abbott; address; australia; budget; business; click; coalition; friends; government; important; liberal; party; read; speech; tony; watch
17	details; economy; election; months; plan; real; secure; solutions; today
18	agree; broken; election; families; gillard; julia; labor; people
19	gillard; julia; kevin; months; nothing; null; rudd; year
20	agree; carbon; gillard; julia; null; promise; tax; today
21	agree; carbon; click; continue; greens; health; labor; mining; null; record; support; year
22	billion; coalition; families; hockey; joe; labor; people; promise
23	agree; coalition; deliver; joe; labor; minister; prime; secure; shadow; surplus
24	abbott; australia; coalition; government; labor; plan; political; positive; shadow; today; tony
25	australian; carbon; coalition; cost; create; election; government; message; million; people; positive; stop; today
26	abbott; campaign; federal; forget; hockey; joe; plan; tony
27	coalition; forget; plan; policy; real; solutions
28	months; null; press; today
29	coalition; conference; details; economy; election; hockey; important; joe; julie; plan; positive; secure; today; tony
30	election; labor; mismanagement; waste; website
31	australia; broken; click; cost; failure; gillard; julia; kevin; liberal; party; pm; sure
32	australia; leader; liberal; opposition; party; tony
33	abbott; coalition; coming; deliver; economy; message; safe; secure; strong; tony; year
34	abbott; christmas; margie; message; safe; tony
35	australia; australian; children; christmas; ideas; liberal; online; party; safe; safety
36	agree; australian; budget; deliver; labor; null; people; promise; surplus; swan; wayne
37	border; null; protection
38	abbott; australia; australian; liberal; party; people; tony
39	better; coalition; deliver; economy; plan; positive; safe; secure; strong
40	agree; click; coalition; deliver; joe; shadow; stronger; surplus
41	budget; click; deliver; economic; gillard; government; growth; labor; surplus
42	agree; australian; click; deliver; failure; full; interest; mismanagement; wayne
43	australian; canberra; gillard; government; joe; liberal; party; tax; think
44	australia; null; read; strong; tony
45	abbott; address; coalition; deliver; economy; party; plan; policy; positive; safe; secure; tony
46	click; concerns; government; labor; null; today
47	abbott; announced; australia; billion; coalition; details; economy; federal; gillard; government; null; plan; stronger; tony; year
48	australia; australian; children; coalition; deal; details; liberal; online; party; safety
49	business; deliver; economy; growth; plan; safe; secure; strong
50	abbott; australia; children; liberal; party; people; press; release; tony
51	australia; boat; border; immigration; julia; labor; liberal; minister; morrison; party; policy; protection; scott; shadow; worst
52	abbott; address; australian; click; conference; economic; friends; future; important; leader; national; plan; political; read; sure; tony
53	click; null; swan; wayne
54	abbott; agree; carbon; click; impact; industry; null; speech; tax; tony
55	abbott; margie; news; political
56	abbott; australia; click; forget; liberal; margie; party; read; speech; watch
57	abbott; australia; comment; liberal; margie; member; party; political; read; telegraph; tony
58	agree; billion; continue; debt; government; labor; spending; swan; wayne; work
59	abbott; address; conference; national; plan; stronger; tony
60	abbott; australia; bill; leader; liberal; parliament; party; provide; support; tony
61	abbott; agree; billion; click; coming; labor; money; pay; question; today; tony
62	australia; latest; liberal; news; null; party
63	gillard; involved; julia; policy; response; today
64	ago; australian; biggest; carbon; deal; gillard; government; greens; health; julia; power
65	abbott; australia; better; change; country; election; future; liberal; minister; party; people; press; tony; vote
66	australia; australian; coalition; country; families; federal; help; message; opportunity; people; plan; provide; real; share; support; today; year
67	ago; agree; australian; carbon; gillard; government; greens; julia; latest; people; tax; today; video; watch
68	ago; agree; australian; carbon; labor; public; swan; today; wayne
69	abbott; coalition; cost; gillard; julia; plan; pm; stop; tony
70	agree; arrivals; australia; border; coalition; gillard; julia; morrison; people; policy; protection; scott; strong; year
71	agree; australian; carbon; click; cost; electricity; families; gillard; julia; minister; prime; provide; tax; today
72	australia; australian; coalition; continue; economic; growth; policy; support; today
73	arrivals; australia; biggest; boat; gillard; illegal; immigration; julia; kevin; latest; liberal; minister; morrison; party; people; record; rudd; scott; shadow; year
74	australia; click; communicate; discuss; electorate; forget; ideas; involved; learn; liberal; local; matter; party; real; share; solutions; topics; ways
75	agree; australia; business; carbon; click; communicate; cost; discuss; electorate; help; ideas; involved; learn; liberal; local; matter; party; plan; share; tax; topics; ways
76	agree; gillard; greens; julia; labor; latest; power; think
77	biggest; carbon; null; tax; video
78	carbon; cost; latest; lie; sure; tax
79	agree; carbon; forget; gillard; julia; swan; tax; trust; wayne
80	australia; billion; coalition; government; impact; liberal; party; plan
81	australia; federal; liberal; null; party; speech; tony; watch
82	australia; communicate; discuss; electorate; ideas; involved; labor; learn; liberal; local; matter; party; share; topics; ways
83	australia; federal; liberal; null; party; watch
84	andrew; carbon; gillard; julia; lie; tax
85	ago; agree; click; gillard; government; julia; labor; prime
86	abbott; conference; families; hockey; important; joe; null; press; tony
87	better; help; national; plan; work
88	agree; australia; click; cost; economic; full; gillard; labor; liberal; party; public; record
89	abbott; australia; liberal; party; people; plan; speech; stronger; tony; ways
90	australia; coming; government; people
91	agree; australia; border; government; illegal; immigration; labor; liberal; minister; morrison; party; people; scott; shadow
92	ago; null; people; today
93	null
94	abbott; australian; carbon; impact; null; tax; tony
95	budget; hockey; joe; national; post; press
96	abbott; carbon; impact; tax; tony
97	abbott; address; canberra; leader; parliament; tony; watch
98	address; australia; better; canberra; help; leader; liberal; member; parliament; party; tony
99	agree; billion; budget; carbon; click; country; debt; full; hit; tax; trust
100	australia; blog; budget; discuss; liberal; live; null; party; shadow
101	julia; null
102	andrew; billion; budget; coalition; debt; government; hockey; joe; labor; record; swan; today; wayne
103	arrivals; australia; biggest; boat; illegal; immigration; latest; liberal; minister; morrison; party; people; record; scott; shadow; year
104	agree; budget; click; labor
105	agree; budget; carbon; julia; labor; null; pm; sure; tax
106	gillard; julia; peter
107	arrivals; australia; boat; coming; illegal; labor
108	abbott; address; australia; liberal; party; tony
109	mr; null
110	agree; australia; boat; border; failure; government; illegal; immigration; labor; liberal; minister; morrison; party; people; protection; scott; shadow
111	australia; house; leader; liberal; parliament; party; peter
112	abbott; australian; plan; speech; tony
113	australia; health; liberal; minister; party; prime
114	abbott; biggest; carbon; hit; tax; tony; worst
115	agree; australian; change; continue; deal; families; greens; labor; leader; power; real
116	australia; carbon; electricity; families; liberal; party; pay; power; price; tax
117	agree; arrivals; australia; boat; border; illegal; immigration; liberal; minister; morrison; party; people; protection; scott; shadow
118	australia; carbon; gillard; government; liberal; million; party; tax
119	arrivals; australia; boat; failure; gillard; illegal; immigration; julia; liberal; minister; party; people; pm; policy; prime; promise; scott; shadow
120	australia; carbon; change; election; gillard; julia; liberal; minister; mr; party; prime; tax
121	australia; communicate; cost; discuss; electorate; ideas; involved; labor; learn; liberal; local; matter; party; share; topics; ways
122	australia; australian; carbon; coalition; details; electricity; gillard; julia; liberal; minister; party; power; prime; tax
123	agree; gillard; julia; null; pm
124	australia; australian; liberal; national; party
125	abbott; agree; biggest; carbon; electricity; labor; power; tax; tony
126	andrew; debt; labor; question; record
127	carbon; electricity; julia; leader; mining; mr; network; tony
128	australia; australian; carbon; coalition; industry; liberal; network; party; tax; week
129	future; government
130	abbott; health; hit; peter; tony
131	abbott; agree; business; home; labor; live; tony
132	business; government; labor; null
133	australia; australian; billion; carbon; cost; economy; hit; impact; liberal; party; report; tax
134	abbott; better; economy; null; plan; positive; stronger; tony
135	full; minister
136	australia; fair; labor; mp; work
137	australia; bill; carbon; cost; health; hit; liberal; million; party; report; tax
138	arrivals; australia; boat; illegal; immigration; labor; liberal; minister; morrison; party; people; scott; shadow
139	carbon; tax; week; work
140	abbott; null; tony
141	australia; coalition; fair; liberal; party; reform
142	abbott; australia; campaign; government; liberal; party; tony
143	australia; canberra; julia; latest; liberal; party
144	jobs; peter; real
145	julia; pm; yesterday
146	australia; carbon; electricity; government; industry; liberal; party; tax
147	australia; environment; labor; liberal; minister; party; shadow; today
148	kevin; rudd
149	null; online; safety
150	change; labor; null; sure; think
151	ago; announced; australian; biggest; carbon; labor; months; null; people; tax
152	australia; coalition; continue; government; kevin; labor; liberal; party; provide; rudd
153	australian; families; gillard; labor; months; price
154	agree; arrivals; australia; boat; click; labor; liberal; party; people; secure
155	australia; full; government; home; insulation; liberal; party; pm; release; report
156	minister; shadow
157	null
158	carbon; labor; tax
159	null
160	abbott; health; null
161	families; gillard; health; hit; julia
162	australia; better; concerns; deal; interest; liberal; party; swan; wayne
163	agree; debt; question
164	australia; broken; gillard; government; health; liberal; million; parliament; party; promise; today
165	abbott; carbon; gillard; health; hit; jobs; julia; price; tony
166	agree; australia; click; fair; julie; question; work; year
167	australia; morrison; question; scott
168	abbott; coalition; gillard; government; opportunity; party; tony
169	australia; interest; labor; liberal; party
170	australia; australian; carbon; continue; liberal; party; real; tax
171	business; carbon; julia; tax
172	australia; australian; biggest; budget; gillard; labor; liberal; party; record
173	abbott; australia; better; opportunity; plan; stronger; tony; work
174	australia; better; economy; liberal; opportunity; party; plan; stronger; work
175	australia; australian; government; liberal; mining; party; tax; wayne
176	agree; ideas; labor; null
177	australia; australian; garrett; liberal; party; peter; today
178	border; labor; morrison; protection; scott
179	abbott; money; people; tony
180	fair; liberal; mr; party; work
181	abbott; australia; coalition; liberal; party; policy; support; tony
182	australia; biggest; carbon; jobs; labor; liberal; party; worst
183	australia; message; null; people
184	announced; australia; australian; carbon; impact; jobs; liberal; party; tax
185	jobs; labor; party; work
186	coalition; economic; federal; labor; liberal; party
187	australia; federal; liberal; national; party; speech
188	australia; carbon; economic; government; liberal; live; party; worst
189	australia; bill; carbon; electricity; hit; liberal; party; price; tax
190	concerns; opposition
191	australia; liberal; party
192	message; tony; year
193	abbott; christmas; message; null; tony
194	coalition; government; liberal; million; party; provide; support
195	australia; coalition; liberal; party
196	click; friends; government; julie; minister; sure; tax
197	agree; australia; julia; kevin; labor; minister; opposition; rudd; secure
198	abbott; australia; border; network; peter; protection; safe; tony
199	broadband; labor; mp; national; network; provide
200	action; australia; million; minister; network; prime
201	australia; failure; full; gillard; incompetence; mp; network; rudd
202	australia; latest; liberal; news; null; party; political; sure
203	gillard; julia; labor; real
204	agree; australian; conference; labor; national; nothing; party; vote
205	arrivals; boat; conference; labor; national; plan; record; secure
206	broken; conference; economic; failure; national; price
207	blog; conference; labor; liberal; link; party; sure; watch
208	morrison; null; scott
209	click; forget; friends; incompetence; million; null; share; waste; wayne
210	failure; home; insulation; news
211	carbon; cost; impact; tax
212	abbott; blog; gillard; julia; kevin; prime; rudd; tony
213	hockey; joe; mining; null
214	abbott; carbon; deal; greens; labor; mining; question; tax; tony
215	abbott; australia; better; country; government; secure; stronger; tony
216	carbon; price; tax; tony
217	agree; broken; click; economic; failure; price
218	australia; communicate; discuss; electorate; ideas; involved; labor; learn; liberal; local; matter; party; share; topics; ways
219	abbott; prime; rudd; tony
220	campaign; carbon; million; null
221	australian; carbon; cost; families; future; tax; vote
222	broken; carbon; election; julia; null; promise; tax
223	carbon; tax
224	abbott; coalition; gillard; government; policy; tony
225	abbott; coalition; morrison; protection; safe; scott; tony
226	australia; coalition; economic; federal; leader; liberal; opposition; party; policy; reform; release; report
227	government; hockey; interest; joe
228	australian; gillard; government; julia; labor; public
229	australia; billion; carbon; cost; liberal; party; tax; waste
230	announced; australia; boat; business; continue; liberal; party; work
231	government; money; spending; vote
232	abbott; minister; prime; protection; tony
233	gillard; julia; null; pm
234	abbott; australia; people; scott; tony
235	abbott; carbon; tax; tony
236	carbon; click; tax
237	abbott; canberra; carbon; coming; economic; julie; minister; parliament; prime; tax; tony; worst
238	biggest; carbon; click; government; minister; prime; tax; worst
239	click; government; tax
240	null; peter; question; swan; wayne
241	null; wayne
242	bit; click; minister; post; swan; tax; think; video; wayne
243	abbott; protection; stop; tony
244	agree; bill; click; house; kevin; member; million; mr; speech; think
245	abbott; agree; business; carbon; click; hit; impact; plan; tax; tony
246	abbott; agree; bill; click; lie; tax; tony
247	abbott; agree; broken; carbon; click; gillard; government; julia; labor; promise; tax; tony; week
248	abbott; address; agree; australian; carbon; click; tax; tony
249	click; message; national; surplus
250	carbon; impact; jobs; null; tax
251	border; coalition; government; policy; protection; work
252	click; gillard; julia; prime; protection; stop
253	border; click; coalition; failure; julia; labor; policy; protection; stop
254	deal; gillard; government; labor; minister; pm; policy; today
255	border; click; failure; government; incompetence; policy; protection
