1	photos; timeline
2	dc; half; marathon; nike; women
3	elite; jacksonville; jaguars; nfl; nike; uniform
4	status; update
5	photos; timeline
6	photos; timeline
7	city; dunk; hi; nike; pack; sky
8	eric; grows; koston; latest; legend; nike; presents; seconds; shoe; signature; skateboarding
9	photos; timeline
10	andres; elastico; everything; finale; grew; ground; iniesta; nike; playing; reflects; started; sus; vuelve; wears
11	chosen; nike; professional; took; trailer; undiscovered; watch; years
12	expectancy; extra; generation; kids; life; shorter; years
13	photos; timeline
14	carnage; comes; cristiano; explode; gets; hits; ix; mercurial; nike; pitch; ronaldo; taste; towards; trail; vapor; witness; world
15	bakers; bryant; earthquakes; kobe; nike
16	cup; meet; nike; safe
17	advantage; pick; roger
