Id,mod_t1,mod_t2,mod_t3,mod_t4,mod_t5,mod_t6,mod_t7,mod_t8,mod_t9,mod_t10
1,1,1,1,1,1,1,1,1,1,0
2,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,125
4,0,0,3,0,0,0,0,0,0,125
5,1,1,1,1,1,1,1,1,1,100
6,3,3,3,3,3,3,3,3,3,2
7,3,3,3,3,3,3,3,3,3,260
8,0,0,0,0,0,0,0,0,0,213
9,1,1,1,1,1,1,1,1,1,216
10,1,1,1,1,1,1,1,1,1,3
11,3,3,3,3,3,3,3,3,3,4
12,1,1,1,1,1,1,1,1,1,5
13,3,3,3,3,3,3,3,3,3,6
14,1,1,1,1,0,0,0,1,3,7
15,1,1,1,1,1,1,1,1,1,44
16,3,3,0,1,3,3,3,3,3,262
17,0,0,0,0,0,0,0,0,0,216
18,3,3,0,1,1,2,1,3,0,213
19,3,3,3,3,3,3,3,3,3,254
20,0,0,0,0,0,0,0,0,0,216
21,3,3,3,3,3,3,3,3,3,218
22,1,1,1,1,1,1,1,1,1,8
23,1,1,1,1,1,1,1,1,1,100
24,1,1,1,1,1,1,1,1,1,9
25,1,1,1,1,1,1,1,1,1,10
26,2,2,0,2,1,2,1,3,0,11
27,2,2,2,2,2,2,2,2,2,12
28,2,2,2,2,2,2,2,2,2,175
29,2,2,2,2,2,2,2,2,2,13
30,2,2,2,2,2,2,2,2,2,262
31,2,2,2,2,2,2,2,2,2,14
32,2,2,2,2,2,2,2,2,2,175
33,2,2,2,2,2,2,2,2,2,15
34,2,2,2,2,2,2,2,2,2,16
35,2,2,2,2,2,2,2,2,2,17
36,2,2,2,2,2,2,2,2,2,18
37,2,2,2,2,2,2,2,2,2,19
38,3,3,3,3,3,3,3,3,3,20
39,0,0,0,0,0,0,0,0,0,129
40,3,3,3,3,3,3,3,3,3,21
41,0,0,0,0,0,0,0,0,0,22
42,3,3,3,3,3,3,3,1,3,23
43,0,0,0,0,0,0,0,0,0,216
44,3,3,3,3,3,3,3,3,3,260
45,0,0,0,0,0,0,2,2,2,24
46,0,0,0,0,0,0,0,0,0,25
47,3,3,3,3,3,3,3,3,3,26
48,1,1,1,1,1,1,1,1,1,27
49,1,1,1,1,1,1,1,1,1,107
50,1,1,1,1,1,0,1,1,3,28
51,0,0,0,0,0,0,1,3,0,125
52,1,1,1,1,1,1,1,1,1,29
53,1,1,1,1,1,1,1,1,1,30
54,1,1,1,1,1,1,1,1,1,31
55,1,1,1,1,1,1,1,1,1,107
56,1,1,1,1,1,1,1,1,1,114
57,1,1,1,1,1,1,1,1,1,32
58,0,0,0,0,0,0,0,0,0,129
