Source,Target,MSTWeight
298,1,1
308,1,1
184,2,1
165,3,1
165,4,1
541,5,1
499,6,1
379,7,1
14,8,1
103,8,1
320,8,1
407,9,1
457,9,1
137,10,1
217,10,1
309,11,1
87,12,1
589,13,1
81,15,1
132,15,1
159,15,1
477,16,1
497,16,1
510,16,1
321,17,1
440,17,1
485,17,1
85,18,1
425,18,1
632,18,1
367,19,1
142,20,1
146,20,1
294,20,1
440,21,1
222,22,1
245,22,1
504,22,1
192,23,1
532,23,1
191,24,1
147,25,1
32,26,1
190,26,1
429,27,1
259,28,1
268,28,1
269,28,1
581,28,1
285,29,1
292,29,1
340,29,1
304,30,1
443,30,1
622,30,1
363,31,1
448,31,1
460,31,1
344,32,1
354,32,1
358,32,1
486,32,1
226,33,1
262,34,1
278,35,1
458,35,1
451,36,1
629,37,1
635,38,1
108,39,1
485,39,1
571,39,1
511,40,1
142,41,1
490,42,1
574,42,1
60,43,1
191,44,1
364,44,1
78,45,1
128,46,1
403,47,1
148,48,1
137,49,1
160,49,1
582,49,1
588,49,1
63,50,1
157,51,1
167,51,1
548,51,1
560,51,1
585,51,1
138,52,1
218,53,1
520,54,1
164,55,1
316,55,1
582,55,1
594,55,1
530,56,1
149,57,1
152,58,1
231,59,1
155,60,1
620,60,1
582,61,1
123,62,1
107,63,1
144,63,1
150,64,1
518,64,1
585,64,1
152,65,1
485,65,1
145,66,1
594,66,1
153,67,1
255,68,1
150,69,1
110,70,1
206,70,1
517,70,1
524,70,1
289,71,1
524,71,1
540,71,1
544,71,1
559,71,1
152,72,1
535,73,1
181,74,1
361,74,1
231,75,1
108,76,1
294,77,1
331,78,1
182,79,1
549,79,1
146,80,1
228,81,1
86,82,1
532,82,1
587,83,1
151,84,1
425,84,1
162,87,1
165,87,1
171,87,1
102,88,1
485,89,1
169,90,1
541,91,1
236,92,1
335,93,1
492,93,1
146,94,1
485,95,1
483,96,1
231,97,1
539,98,1
173,99,1
174,99,1
189,99,1
296,99,1
123,100,1
541,100,1
144,101,1
237,102,1
432,102,1
129,103,1
302,104,1
184,105,1
191,105,1
114,106,1
332,106,1
625,107,1
455,109,1
638,109,1
125,110,1
122,111,1
622,111,1
231,112,1
161,113,1
331,115,1
236,116,1
333,116,1
492,116,1
578,117,1
346,118,1
279,119,1
391,120,1
323,121,1
178,122,1
133,123,1
231,124,1
169,126,1
356,127,1
236,128,1
401,130,1
302,131,1
577,133,1
165,134,1
633,135,1
140,136,1
367,136,1
427,136,1
438,136,1
332,138,1
638,139,1
322,140,1
488,140,1
496,140,1
379,141,1
278,142,1
545,143,1
329,144,1
357,144,1
483,144,1
492,146,1
447,147,1
155,148,1
633,148,1
158,149,1
312,149,1
531,149,1
584,149,1
587,149,1
589,149,1
638,152,1
483,153,1
439,154,1
172,155,1
526,155,1
208,156,1
340,157,1
169,159,1
425,159,1
587,159,1
183,161,1
191,161,1
298,161,1
516,161,1
535,161,1
470,163,1
227,165,1
318,166,1
223,167,1
227,167,1
181,168,1
236,170,1
380,171,1
622,172,1
511,173,1
307,174,1
331,175,1
332,175,1
464,176,1
465,176,1
469,176,1
476,176,1
606,176,1
626,176,1
243,177,1
338,177,1
527,178,1
628,178,1
359,179,1
451,179,1
446,180,1
365,181,1
432,181,1
236,182,1
420,183,1
564,184,1
231,185,1
349,185,1
417,185,1
483,185,1
486,185,1
495,185,1
464,186,1
482,186,1
426,187,1
428,188,1
512,188,1
219,191,1
634,191,1
236,193,1
418,194,1
315,195,1
211,196,1
442,196,1
552,196,1
211,197,1
323,197,1
204,198,1
225,198,1
516,198,1
244,199,1
318,199,1
545,199,1
219,200,1
452,201,1
530,202,1
377,203,1
516,203,1
563,203,1
450,205,1
227,206,1
267,206,1
282,206,1
553,206,1
341,207,1
212,208,1
533,208,1
336,209,1
218,210,1
522,210,1
241,211,1
266,211,1
267,211,1
422,211,1
604,211,1
337,212,1
517,213,1
553,214,1
427,215,1
486,216,1
265,217,1
517,218,1
520,218,1
583,218,1
586,218,1
590,219,1
560,220,1
326,221,1
327,221,1
525,221,1
541,221,1
575,222,1
548,224,1
317,226,1
468,226,1
313,227,1
593,227,1
475,229,1
608,230,1
624,230,1
484,231,1
485,231,1
568,231,1
627,231,1
578,232,1
578,233,1
595,233,1
396,234,1
597,235,1
251,236,1
275,236,1
279,236,1
494,236,1
636,236,1
367,238,1
611,238,1
393,239,1
471,239,1
387,240,1
601,240,1
334,242,1
383,242,1
516,246,1
315,247,1
483,247,1
621,248,1
301,249,1
333,250,1
533,250,1
444,252,1
497,252,1
301,253,1
544,254,1
272,255,1
354,255,1
610,255,1
473,256,1
310,257,1
514,257,1
621,257,1
301,258,1
516,260,1
517,261,1
306,262,1
519,263,1
336,264,1
534,266,1
596,267,1
301,270,1
440,271,1
379,273,1
436,273,1
357,274,1
400,275,1
301,276,1
350,276,1
513,277,1
531,277,1
345,279,1
398,279,1
303,280,1
303,281,1
582,283,1
514,284,1
290,286,1
442,287,1
570,287,1
533,288,1
297,289,1
357,290,1
433,290,1
304,291,1
461,291,1
492,293,1
335,295,1
536,298,1
539,299,1
446,300,1
338,301,1
354,301,1
374,301,1
459,301,1
351,302,1
329,303,1
348,303,1
514,305,1
401,306,1
410,309,1
479,309,1
467,311,1
524,314,1
339,316,1
580,319,1
405,320,1
397,323,1
492,323,1
528,323,1
506,324,1
388,325,1
622,326,1
487,328,1
445,329,1
356,330,1
403,331,1
410,331,1
441,331,1
487,331,1
483,336,1
343,340,1
399,341,1
462,341,1
519,341,1
401,342,1
609,342,1
441,346,1
445,347,1
449,348,1
434,351,1
442,351,1
441,352,1
426,353,1
483,355,1
395,356,1
482,356,1
440,359,1
401,360,1
401,362,1
442,363,1
376,364,1
412,364,1
446,365,1
392,366,1
375,367,1
415,367,1
501,367,1
600,367,1
482,368,1
403,369,1
534,370,1
381,371,1
381,372,1
499,373,1
491,374,1
390,376,1
423,378,1
384,379,1
386,379,1
489,379,1
631,379,1
411,381,1
622,381,1
629,381,1
623,382,1
506,383,1
511,383,1
456,385,1
624,385,1
409,387,1
463,387,1
629,387,1
423,388,1
421,389,1
450,389,1
501,389,1
553,389,1
627,391,1
401,392,1
489,392,1
480,393,1
482,393,1
597,394,1
437,396,1
453,396,1
482,396,1
508,396,1
630,396,1
592,398,1
539,401,1
438,402,1
622,403,1
624,403,1
491,404,1
418,405,1
425,405,1
491,406,1
491,407,1
485,408,1
475,410,1
489,410,1
498,413,1
496,414,1
452,415,1
584,415,1
425,416,1
597,417,1
503,418,1
