Source,Target,MST_Weight
1,298,1
1,308,1
2,184,1
3,165,1
4,165,1
5,541,1
6,499,1
7,379,1
8,14,1
8,103,1
8,320,1
9,407,1
9,457,1
10,137,1
10,217,1
11,309,1
12,87,1
13,589,1
15,81,1
15,132,1
15,159,1
16,477,1
16,497,1
16,510,1
17,321,1
17,440,1
17,485,1
18,85,1
18,425,1
18,632,1
19,367,1
20,142,1
20,146,1
20,294,1
21,440,1
22,222,1
22,245,1
22,504,1
23,192,1
23,532,1
24,191,1
25,147,1
26,32,1
26,190,1
27,429,1
28,259,1
28,268,1
28,269,1
28,581,1
29,285,1
29,292,1
29,340,1
30,304,1
30,443,1
30,622,1
31,363,1
31,448,1
31,460,1
32,344,1
32,354,1
32,358,1
32,486,1
33,226,1
34,262,1
35,278,1
35,458,1
36,451,1
37,629,1
38,635,1
39,108,1
39,485,1
39,571,1
40,511,1
41,142,1
42,490,1
42,574,1
43,60,1
44,191,1
44,364,1
45,78,1
46,128,1
47,403,1
48,148,1
49,137,1
49,160,1
49,582,1
49,588,1
50,63,1
51,157,1
51,167,1
51,548,1
51,560,1
51,585,1
52,138,1
53,218,1
54,520,1
55,164,1
55,316,1
55,582,1
55,594,1
56,530,1
57,149,1
58,152,1
59,231,1
60,155,1
60,620,1
61,582,1
62,123,1
63,107,1
63,144,1
64,150,1
64,518,1
64,585,1
65,152,1
65,485,1
66,145,1
66,594,1
67,153,1
68,255,1
69,150,1
70,110,1
70,206,1
70,517,1
70,524,1
71,289,1
71,524,1
71,540,1
71,544,1
71,559,1
72,152,1
73,535,1
74,181,1
74,361,1
75,231,1
76,108,1
77,294,1
78,331,1
79,182,1
79,549,1
80,146,1
81,228,1
82,86,1
82,532,1
83,587,1
84,151,1
84,425,1
87,162,1
87,165,1
87,171,1
88,102,1
89,485,1
90,169,1
91,541,1
92,236,1
93,335,1
93,492,1
94,146,1
95,485,1
96,483,1
97,231,1
98,539,1
99,173,1
99,174,1
99,189,1
99,296,1
100,123,1
100,541,1
101,144,1
102,237,1
102,432,1
103,129,1
104,302,1
105,184,1
105,191,1
106,114,1
106,332,1
107,625,1
109,455,1
109,638,1
110,125,1
111,122,1
111,622,1
112,231,1
113,161,1
115,331,1
116,236,1
116,333,1
116,492,1
117,578,1
118,346,1
119,279,1
120,391,1
121,323,1
122,178,1
123,133,1
124,231,1
126,169,1
127,356,1
128,236,1
130,401,1
131,302,1
133,577,1
134,165,1
135,633,1
136,140,1
136,367,1
136,427,1
136,438,1
138,332,1
139,638,1
140,322,1
140,488,1
140,496,1
141,379,1
142,278,1
143,545,1
144,329,1
144,357,1
144,483,1
146,492,1
147,447,1
148,155,1
148,633,1
149,158,1
149,312,1
149,531,1
149,584,1
149,587,1
149,589,1
152,638,1
153,483,1
154,439,1
155,172,1
155,526,1
156,208,1
157,340,1
159,169,1
159,425,1
159,587,1
161,183,1
161,191,1
161,298,1
161,516,1
161,535,1
163,470,1
165,227,1
166,318,1
167,223,1
167,227,1
168,181,1
170,236,1
171,380,1
172,622,1
173,511,1
174,307,1
175,331,1
175,332,1
176,464,1
176,465,1
176,469,1
176,476,1
176,606,1
176,626,1
177,243,1
177,338,1
178,527,1
178,628,1
179,359,1
179,451,1
180,446,1
181,365,1
181,432,1
182,236,1
