Waterworld (1995),Kevin Reynolds,Kevin Costner,Jeanne Tripplehorn,Dennis Hopper,Tina Majorino,
Flash Gordon (1980),Mike Hodges,Sam J. Jones,Melody Anderson,Max von Sydow,Topol,
WarGames (1983),John Badham,Matthew Broderick,Ally Sheedy,John Wood,Dabney Coleman,
RoboCop (1987),Paul Verhoeven,Peter Weller,Nancy Allen,Dan O'Herlihy,Ronny Cox,
The Abyss (1989),James Cameron,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Leo Burmester,
Honey I Shrunk the Kids (1989),Joe Johnston,Rick Moranis,Matt Frewer,Marcia Strassman,Kristine Sutherland,
Teenage Mutant Ninja Turtles (1990),Steve Barron,Judith Hoag,Elias Koteas,Josh Pais,David Forman,
Tremors (1990),Ron Underwood,Kevin Bacon,Fred Ward,Finn Carter,Michael Gross,
The Rocketeer (1991),Joe Johnston,Billy Campbell,Jennifer Connelly,Alan Arkin,Timothy Dalton,
Terminator 2: Judgment Day (1991),James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,
AlienŒ_ (1992),David Fincher,Sigourney Weaver,Charles S. Dutton,Charles Dance,Paul McGann,
Jurassic Park (1993),Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,
Mortal Kombat (1995),Paul Anderson,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,
Mars Attacks! (1996),Tim Burton,Jack Nicholson,Pierce Brosnan,Sarah Jessica Parker,Annette Bening,
Space Jam (1996),Joe Pytka,Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington,
The Lost World: Jurassic Park (1997),Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn,
Men in Black (1997),Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,
Starship Troopers (1997),Paul Verhoeven,Casper Van Dien,Denise Richards,Dina Meyer,Jake Busey,
Armageddon (1998),Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,
Deep Impact (1998),Mimi Leder,Robert Duvall,TŽa Leoni,Elijah Wood,Morgan Freeman,
Sphere (1998),Barry Levinson,Dustin Hoffman,Sharon Stone,Samuel L. Jackson,Peter Coyote,
The Truman Show (1998),Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,
The Iron Giant (1999),Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,
The Matrix (1999),The Wachowski Brothers,The Wachowski Brothers,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving
Star Wars: Episode I - The Phantom Menace (1999),George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,
Unbreakable (2000),M. Night Shyamalan,Bruce Willis,Samuel L. Jackson,Robin Wright,Spencer Treat Clark,
X-Men (2000),Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen,
A.I. Artificial Intelligence (2001),Steven Spielberg,Haley Joel Osment,Jude Law,Frances O'Connor,Sam Robards,
