_num,_widgetName,_source,_resultNumber,_pageUrl,movietitle,year,people,image,description
1,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,1,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Waterworld,1995,Director: Kevin Reynolds; Stars: Kevin Costner Jeanne Tripplehorn Dennis Hopper Tina Majorino,<img src="http://ia.media-imdb.com/images/M/MV5BMTA2Nzk3MTgzMTVeQTJeQWpwZ15BbWU3MDgyNTgxNjk@._V1._SY209_CR80140209_.jpg" height="209" width="140" alt="Image of Waterworld" class="zero-z-index" />,In a future where the polar ice caps have melted and most of Earth is underwater a mutated mariner fights starvation and outlaw "smokers" and reluctantly helps a woman and a young girl try to find dry land. (135 mins.)
2,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,2,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Flash Gordon,1980,Director: Mike Hodges; Stars: Sam J. Jones Melody Anderson Max von Sydow Topol,<img src="http://ia.media-imdb.com/images/M/MV5BMjE1OTU3ODAwMl5BMl5BanBnXkFtZTcwMzQ2NjczNA@@._V1._SX140_CR00140209_.jpg" height="209" width="140" alt="Image of Flash Gordon" class="zero-z-index" />,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth. (111 mins.)
3,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,3,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,WarGames,1983,Director: John Badham; Stars: Matthew Broderick Ally Sheedy John Wood Dabney Coleman,<img src="http://ia.media-imdb.com/images/M/MV5BMTMyMTE3OTk3NF5BMl5BanBnXkFtZTcwOTkwNDc3NA@@._V1._SX140_CR00140209_.jpg" height="209" width="140" alt="Image of WarGames" class="zero-z-index" />,A young man finds a back door into a military central computer in which reality is confused with game-playing possibly starting World War III. (114 mins.)
4,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,4,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,RoboCop,1987,Director: Paul Verhoeven; Stars: Peter Weller Nancy Allen Dan O'Herlihy Ronny Cox,<img src="http://ia.media-imdb.com/images/M/MV5BMTk1MDUzMTQ3OV5BMl5BanBnXkFtZTcwMDAwNTk0NA@@._V1._SX140_CR00140209_.jpg" height="209" width="140" alt="Image of RoboCop" class="zero-z-index" />,In a dystopic and crime-ridden Detroit a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories. (102 mins.)
5,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,5,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,The Abyss,1989,Director: James Cameron; Stars: Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester,<img src="http://ia.media-imdb.com/images/M/MV5BMTIwMDA4MTEzMF5BMl5BanBnXkFtZTcwMTcxMTU1MQ@@._V1._SY209_CR40140209_.jpg" height="209" width="140" alt="Image of The Abyss" class="zero-z-index" />,A civilian diving team are enlisted to search for a lost nuclear submarine and face danger while encountering an alien aquatic species. (139 mins.)
6,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,6,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Honey I Shrunk the Kids,1989,Director: Joe Johnston; Stars: Rick Moranis Matt Frewer Marcia Strassman Kristine Sutherland,<img src="http://ia.media-imdb.com/images/M/MV5BMTcxMDYyOTQ3M15BMl5BanBnXkFtZTYwNjc5NzI5._V1._SY209_CR30140209_.jpg" height="209" width="140" alt="Image of Honey I Shrunk the Kids" class="zero-z-index" />,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them. (93 mins.)
7,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,7,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Teenage Mutant Ninja Turtles,1990,Director: Steve Barron; Stars: Judith Hoag Elias Koteas Josh Pais David Forman,<img src="http://ia.media-imdb.com/images/M/MV5BMTk3OTIzODUyOV5BMl5BanBnXkFtZTYwNjgxNjA5._V1._SY209_CR60140209_.jpg" height="209" width="140" alt="Image of Teenage Mutant Ninja Turtles" class="zero-z-index" />,A quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas. (93 mins.)
8,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,8,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Tremors,1990,Director: Ron Underwood; Stars: Kevin Bacon Fred Ward Finn Carter Michael Gross,<img src="http://ia.media-imdb.com/images/M/MV5BMjMxNTIwOTkxNV5BMl5BanBnXkFtZTgwNzY4NjY1MDE@._V1._SY209_CR00140209_.jpg" height="209" width="140" alt="Image of Tremors" class="zero-z-index" />,Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one. (96 mins.)
9,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,9,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,The Rocketeer,1991,Director: Joe Johnston; Stars: Billy Campbell Jennifer Connelly Alan Arkin Timothy Dalton,<img src="http://ia.media-imdb.com/images/M/MV5BMzEyMjI2OTQxOF5BMl5BanBnXkFtZTcwODUxMjEyMQ@@._V1._SY209_CR40140209_.jpg" height="209" width="140" alt="Image of The Rocketeer" class="zero-z-index" />,A young pilot stumbles onto a prototype jetpack that allows him to become a high flying masked hero. (108 mins.)
10,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,10,http://www.imdb.com/list/ls051626175/?licb=0.8647028070408851,Terminator 2: Judgment Day,1991,Director: James Cameron; Stars: Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick,<img src="http://ia.media-imdb.com/images/M/MV5BMTg5NzUwMDU5NF5BMl5BanBnXkFtZTcwMjk2MDA4Mg@@._V1._SY209_CR120140209_.jpg" height="209" width="140" alt="Image of Terminator 2: Judgment Day" class="zero-z-index" />,A cyborg identical to the one who failed to kill Sarah Connor must now protect her teenage son John from a more advanced cyborg made out of liquid metal. (137 mins.)
