The_Dark_Knight_(2008), Christopher_Nolan, Christian_Bale, Heath_Ledger, Aaron_Eckhart, Michael_Caine
Inception_(2010), Christopher_Nolan, Leonardo_DiCaprio, Joseph_Gordon-Levitt, Ellen_Page, Ken_Watanabe
Star_Wars:_Episode_V_-_The_Empire_Strikes_Back_(1980), Irvin_Kershner, Mark_Hamill, Harrison_Ford, Carrie_Fisher, Billy_Dee_Williams
Star_Wars:_Episode_IV_-_A_New_Hope_(1977), George_Lucas, Mark_Hamill, Harrison_Ford, Carrie_Fisher, Alec_Guinness
The_Matrix_(1999), The_Wachowski_Brothers, The_Wachowski_Brothers, Keanu_Reeves, Laurence_Fishburne, Carrie-Anne_Moss, Hugo_Weaving
Terminator_2:_Judgment_Day_(1991), James_Cameron, Arnold_Schwarzenegger, Linda_Hamilton, Edward_Furlong, Robert_Patrick
Aliens_(1986), James_Cameron, Sigourney_Weaver, Michael_Biehn, Carrie_Henn, Paul_Reiser
Star_Wars:_Episode_VI_-_Return_of_the_Jedi_(1983), Richard_Marquand, Mark_Hamill, Harrison_Ford, Carrie_Fisher, Billy_Dee_Williams
V_for_Vendetta_(2005), James_McTeigue, Hugo_Weaving, Natalie_Portman, Rupert_Graves, Stephen_Rea
The_Avengers_(2012), Joss_Whedon, Robert_Downey, Chris_Evans, Scarlett_Johansson, Jeremy_Renner
Captain_America:_The_Winter_Soldier_(2014), Anthony_Russo, Joe_Russo, Chris_Evans, Samuel_L._Jackson, Scarlett_Johansson, Robert_Redford
Terminator_(1984), James_Cameron, Arnold_Schwarzenegger, Linda_Hamilton, Michael_Biehn, Paul_Winfield
Star_Trek_(2009), J.J._Abrams, Chris_Pine, Zachary_Quinto, Simon_Pegg, Leonard_Nimoy
District_9_(2009), Neill_Blomkamp, Sharlto_Copley, David_James, Jason_Cope, Nathalie_Boltt
Serenity_(2005), Joss_Whedon, Nathan_Fillion, Gina_Torres, Chiwetel_Ejiofor, Alan_Tudyk
Ghost_in_the_Shell_(1995), Mamoru_Oshii, Atsuko_Tanaka, Iemasa_Kayumi, Akio_Ôtsuka, Kôichi_Yamadera
Avatar_(2009), James_Cameron, Sam_Worthington, Zoe_Saldana, Sigourney_Weaver, Michelle_Rodriguez
The_Iron_Giant_(1999), Brad_Bird, Eli_Marienthal, Harry_Connick, Jennifer_Aniston, Vin_Diesel
SDF-1_Macross:_Do_You_Remember_Love?_(1984), Noboru_Ishiguro, Shôji_Kawamori, Arihiro_Hase, Mari_Iijima, Mika_Doi, Michio_Hazama
Iron_Man_(2008), Jon_Favreau, Robert_Downey, Gwyneth_Paltrow, Terrence_Howard, Jeff_Bridges
Star_Trek_Into_Darkness_(2013), J.J._Abrams, Chris_Pine, Zachary_Quinto, Zoe_Saldana, Benedict_Cumberbatch
Predator_(1987), John_McTiernan, Arnold_Schwarzenegger, Carl_Weathers, Kevin_Peter_Hall, Elpidia_Carrillo
Batman:_Mask_of_the_Phantasm_(1993), Eric_Radomski, Bruce_W._Timm, Kevin_Conroy, Dana_Delany, Hart_Bochner, Stacy_Keach
X-Men:_First_Class_(2011), Matthew_Vaughn, James_McAvoy, Michael_Fassbender, Jennifer_Lawrence, Kevin_Bacon
Vampire_Hunter_D:_Bloodlust_(2000), Yoshiaki_Kawajiri, Hideyuki_Tanaka, Ichirô_Nagai, Kôichi_Yamadera, Megumi_Hayashibara
Star_Trek_II:_The_Wrath_of_Khan_(1982), Nicholas_Meyer, William_Shatner, Leonard_Nimoy, DeForest_Kelley, James_Doohan
Star_Wars:_Episode_III_-_Revenge_of_the_Sith_(2005), George_Lucas, Hayden_Christensen, Natalie_Portman, Ewan_McGregor, Samuel_L._Jackson
Minority_Report_(2002), Steven_Spielberg, Tom_Cruise, Colin_Farrell, Samantha_Morton, Max_von_Sydow
Watchmen_(2009), Zack_Snyder, Jackie_Earle_Haley, Patrick_Wilson, Carla_Gugino, Malin_Akerman
The_Fifth_Element_(1997), Luc_Besson, Bruce_Willis, Milla_Jovovich, Gary_Oldman, Ian_Holm
The_Amazing_Spider-Man_2_(2014), Marc_Webb, Andrew_Garfield, Emma_Stone, Jamie_Foxx, Paul_Giamatti
Equilibrium_(2002), Kurt_Wimmer, Christian_Bale, Sean_Bean, Emily_Watson, Taye_Diggs
Batman_(1989), Tim_Burton, Michael_Keaton, Jack_Nicholson, Kim_Basinger, Robert_Wuhl
Rise_of_the_Planet_of_the_Apes_(2011), Rupert_Wyatt, James_Franco, Andy_Serkis, Freida_Pinto, Karin_Konoval
Star_Trek:_First_Contact_(1996), Jonathan_Frakes, Patrick_Stewart, Jonathan_Frakes, Brent_Spiner, LeVar_Burton
RoboCop_(1987), Paul_Verhoeven, Peter_Weller, Nancy_Allen, Dan_O'Herlihy, Ronny_Cox
X2_(2003), Bryan_Singer, Patrick_Stewart, Hugh_Jackman, Halle_Berry, Ian_McKellen
Looper_(2012), Rian_Johnson, Joseph_Gordon-Levitt, Bruce_Willis, Emily_Blunt, Paul_Dano
Total_Recall_(1990), Paul_Verhoeven, Arnold_Schwarzenegger, Sharon_Stone, Michael_Ironside, Rachel_Ticotin
Cybornetics_(2012), Dwayne_Buckle, Raw_Leiba, James_Rich, Justiin_A._Davis, Hillary_Hawkins
X-Men_(2000), Bryan_Singer, Patrick_Stewart, Hugh_Jackman, Ian_McKellen, Famke_Janssen
Dawn_of_the_Dead_(2004), Zack_Snyder, Sarah_Polley, Ving_Rhames, Mekhi_Phifer, Jake_Weber
Final_Fantasy_VII:_Advent_Children_(2005), Tetsuya_Nomura, Takeshi_Nozue, Takahiro_Sakurai, Ayumi_Itô, Shotaro_Morikubo, Maaya_Sakamoto
Iron_Man_Three_(2013), Shane_Black, Robert_Downey, Guy_Pearce, Gwyneth_Paltrow, Don_Cheadle
The_Transformers:_The_Movie_(1986), Nelson_Shin, Orson_Welles, Robert_Stack, Leonard_Nimoy, Norman_Alden
Man_of_Steel_(2013), Zack_Snyder, Henry_Cavill, Amy_Adams, Michael_Shannon, Diane_Lane
Superman_(1978), Richard_Donner, Christopher_Reeve, Margot_Kidder, Gene_Hackman, Marlon_Brando
Megamind_(2010), Tom_McGrath, Will_Ferrell, Jonah_Hill, Brad_Pitt, Tina_Fey
They_Live_(1988), John_Carpenter, Roddy_Piper, Keith_David, Meg_Foster, George_'Buck'_Flower
Planet_Terror_(2007), Robert_Rodriguez, Rose_McGowan, Freddy_Rodríguez, Josh_Brolin, Marley_Shelton
Star_Trek_VI:_The_Undiscovered_Country_(1991), Nicholas_Meyer, William_Shatner, Leonard_Nimoy, DeForest_Kelley, James_Doohan
The_Monster_Squad_(1987), Fred_Dekker, Andre_Gower, Robby_Kiger, Stephen_Macht, Duncan_Regehr
District_B13_(2004), Pierre_Morel, Cyril_Raffaelli, David_Belle, Tony_D'Amario, Bibi_Naceri
Appleseed_Saga:_Ex_Machina_(2007), Shinji_Aramaki, Ai_Kobayashi, Kôichi_Yamadera, Yûji_Kishi, Kong_Kuwata
Transformers_(2007), Michael_Bay, Shia_LaBeouf, Megan_Fox, Josh_Duhamel, Tyrese_Gibson
Troopers_(1997), Paul_Verhoeven, Casper_Van_Dien, Denise_Richards, Dina_Meyer, Jake_Busey
The_Matrix_Reloaded_(2003), The_Wachowski_Brothers, The_Wachowski_Brothers, Keanu_Reeves, Laurence_Fishburne, Carrie-Anne_Moss, Hugo_Weaving
Cloverfield_(2008), Matt_Reeves, Mike_Vogel, Jessica_Lucas, Lizzy_Caplan, T.J._Miller
Pitch_Black_(2000), David_Twohy, Radha_Mitchell, Cole_Hauser, Vin_Diesel, Keith_David
Real_Steel_(2011), Shawn_Levy, Hugh_Jackman, Evangeline_Lilly, Dakota_Goyo, Anthony_Mackie
Pacific_Rim_(2013), Guillermo_del_Toro, Idris_Elba, Charlie_Hunnam, Rinko_Kikuchi, Charlie_Day
Blade_(1998), Stephen_Norrington, Wesley_Snipes, Stephen_Dorff, Kris_Kristofferson, N'Bushe_Wright
I_Robot_(2004), Alex_Proyas, Will_Smith, Bridget_Moynahan, Bruce_Greenwood, Alan_Tudyk
World_War_Z_(2013), Marc_Forster, Brad_Pitt, Mireille_Enos, Daniella_Kertesz, James_Badge_Dale
Iron_Man_2_(2010), Jon_Favreau, Robert_Downey, Mickey_Rourke, Gwyneth_Paltrow, Don_Cheadle
Westworld_(1973), Michael_Crichton, Yul_Brynner, Richard_Benjamin, James_Brolin, Norman_Bartold
Hellboy_2:_The_Golden_Army_(2008), Guillermo_del_Toro, Ron_Perlman, Selma_Blair, Doug_Jones, John_Alexander
9_(2009), Shane_Acker, Elijah_Wood, Jennifer_Connelly, Crispin_Glover, Christopher_Plummer
Dredd_(2012), Pete_Travis, Karl_Urban, Olivia_Thirlby, Lena_Headey, Rachel_Wood
Appleseed_(2004), Shinji_Aramaki, Steven_Foster, Ai_Kobayashi, Jûrôta_Kosugi, Yuki_Matsuoka, Asumi_Miwa
The_World's_End_(2013), Edgar_Wright, Simon_Pegg, Nick_Frost, Martin_Freeman, Rosamund_Pike
Deja_Vu_(2006), Tony_Scott, Denzel_Washington, Paula_Patton, Jim_Caviezel, Val_Kilmer
Snowpiercer_(2013), Joon-ho_Bong, Chris_Evans, Jamie_Bell, Tilda_Swinton, Alison_Pill
Oblivion_(2013), Joseph_Kosinski, Tom_Cruise, Morgan_Freeman, Andrea_Riseborough, Olga_Kurylenko
Mad_Max_(1979), George_Miller, Mel_Gibson, Joanne_Samuel, Hugh_Keays-Byrne, Steve_Bisley
Stargate_(1994), Roland_Emmerich, Kurt_Russell, James_Spader, Jaye_Davidson, Viveca_Lindfors
The_Hidden_(1987), Jack_Sholder, Kyle_MacLachlan, Michael_Nouri, Claudia_Christian, Clarence_Felder
Re-Entry:_Grey_Zone_(2013), Ray_Jay, Kate_Leinster, Udana_Fonseka, Brenden_Carson
Ink_(2009), Jamin_Winans, Christopher_Soren_Kelly, Quinn_Hunchar, Jessica_Duffy, Jennifer_Batter
Aqua_Teen_Hunger_Force_Colon_Movie_Film_for_Theaters_(2007), Matt_Maiellaro, Dave_Willis, Dana_Snyder, Dave_Willis, Carey_Means, Andy_Merrill
Vexille_(2007), Fumihiko_Sori, Meisa_Kuroki, Shôsuke_Tanihara, Yasuko_Matsuyuki, Akio_Ôtsuka
Drive_(1997), Steve_Wang, Mark_Dacascos, Kadeem_Hardison, John_Pyper-Ferguson, Brittany_Murphy
The_Incredible_Hulk_(2008), Louis_Leterrier, Edward_Norton, Liv_Tyler, Tim_Roth, William_Hurt
Men_in_Black_3_(2012), Barry_Sonnenfeld, Will_Smith, Tommy_Lee_Jones, Josh_Brolin, Jemaine_Clement
Independence_Day_(1996), Roland_Emmerich, Will_Smith, Bill_Pullman, Jeff_Goldblum, Mary_McDonnell
Enemy_Mine_(1985), Wolfgang_Petersen, Dennis_Quaid, Louis_Gossett, Brion_James, Richard_Marcus
The_Island_(2005), Michael_Bay, Scarlett_Johansson, Ewan_McGregor, Djimon_Hounsou, Steve_Buscemi
Gojira_tai_Mekagojira_(2002), Masaaki_Tezuka, Yumiko_Shaku, Shin_Takuma, Kana_Onodera, Kô_Takasugi
TRON:_Legacy_(2010), Joseph_Kosinski, Jeff_Bridges, Garrett_Hedlund, Olivia_Wilde, Bruce_Boxleitner
Hanna_(2011), Joe_Wright, Saoirse_Ronan, Cate_Blanchett, Eric_Bana, Vicky_Krieps
Hellboy_(2004), Guillermo_del_Toro, Ron_Perlman, Doug_Jones, Selma_Blair, John_Hurt
Logan's_Run_(1976), Michael_Anderson, Michael_York, Jenny_Agutter, Richard_Jordan, Roscoe_Lee_Browne
Ender's_Game_(2013), Gavin_Hood, Harrison_Ford, Asa_Butterfield, Hailee_Steinfeld, Abigail_Breslin
X-Men:_The_Last_Stand_(2006), Brett_Ratner, Patrick_Stewart, Hugh_Jackman, Halle_Berry, Famke_Janssen
TRON_(1982), Steven_Lisberger, Jeff_Bridges, Bruce_Boxleitner, David_Warner, Cindy_Morgan
Pandorum_(2009), Christian_Alvart, Dennis_Quaid, Ben_Foster, Cam_Gigandet, Antje_Traue
Capricorn_One_(1977), Peter_Hyams, Elliott_Gould, James_Brolin, Brenda_Vaccaro, Sam_Waterston
Gojira_vs._Desutoroiâ_(1995), Takao_Okawara, Takurô_Tatsumi, Yôko_Ishino, Yasufumi_Hayashi, Megumi_Odaka
Escape_Plan_(2013), Mikael_Håfström, Sylvester_Stallone, Arnold_Schwarzenegger, 50_Cent, Vincent_D'Onofrio
Captain_America:_The_First_Avenger_(2011), Joe_Johnston, Chris_Evans, Hugo_Weaving, Samuel_L._Jackson, Hayley_Atwell
The_Wolverine_(2013), James_Mangold, Hugh_Jackman, Will_Yun_Lee, Tao_Okamoto, Rila_Fukushima
Superman_II_(1980), Richard_Lester, Gene_Hackman, Christopher_Reeve, Margot_Kidder, Ned_Beatty
Star_Wars:_Episode_II_-_Attack_of_the_Clones_(2002), George_Lucas, Hayden_Christensen, Natalie_Portman, Ewan_McGregor, Christopher_Lee
A_Man_Called_Nereus_(2012), Nathan_Hill, Seth_Gandrud, David_C._Hayes, Orchid_Tao, Joe_Ricci
X-Men_Origins:_Wolverine_(2009), Gavin_Hood, Hugh_Jackman, Liev_Schreiber, Ryan_Reynolds, Danny_Huston
Underworld:_Evolution_(2006), Len_Wiseman, Kate_Beckinsale, Scott_Speedman, Bill_Nighy, Tony_Curran
Battle_for_Terra_(2007), Aristomenis_Tsirbas, Evan_Rachel_Wood, Luke_Wilson, Justin_Long, Chad_Allen
Terminator_Salvation_(2009), McG, Christian_Bale, Sam_Worthington, Anton_Yelchin, Moon_Bloodgood
Elysium_(2013), Neill_Blomkamp, Matt_Damon, Jodie_Foster, Sharlto_Copley, Alice_Braga
The_Final_Countdown_(1980), Don_Taylor, Kirk_Douglas, Martin_Sheen, Katharine_Ross, James_Farentino
Resident_Evil_(2002), Paul_W.S._Anderson, Milla_Jovovich, Michelle_Rodriguez, Ryan_McCluskey, Oscar_Pearce
Diamonds_Are_Forever_(1971), Guy_Hamilton, Sean_Connery, Jill_St._John, Charles_Gray, Lana_Wood
The_Matrix_Revolutions_(2003), The_Wachowski_Brothers, The_Wachowski_Brothers, Keanu_Reeves, Laurence_Fishburne, Carrie-Anne_Moss, Hugo_Weaving
The_Last_Starfighter_(1984), Nick_Castle, Lance_Guest, Robert_Preston, Kay_E._Kuter, Dan_Mason
Teenage_Mutant_Ninja_Turtles_(1990), Steve_Barron, Judith_Hoag, Elias_Koteas, Josh_Pais, David_Forman
The_Chronicles_of_Riddick_(2004), David_Twohy, Vin_Diesel, Judi_Dench, Colm_Feore, Thandie_Newton
Blade_II_(2002), Guillermo_del_Toro, Wesley_Snipes, Kris_Kristofferson, Ron_Perlman, Leonor_Varela
Moon_Child_(2003), Takahisa_Zeze, Hyde, Gackt, Leehom_Wang, Tarô_Yamamoto
In_Time_(2011), Andrew_Niccol, Justin_Timberlake, Amanda_Seyfried, Cillian_Murphy, Olivia_Wilde
John_Carter_(2012), Andrew_Stanton, Taylor_Kitsch, Lynn_Collins, Willem_Dafoe, Samantha_Morton
Zeiramu_2_(1994), Keita_Amemiya, Mitsuo_Abe, Francis_Cherry, Makio_Hiraiwa, Shuta_Hiromoto
Dune_(1984), David_Lynch, Kyle_MacLachlan, Virginia_Madsen, Francesca_Annis, Leonardo_Cimino
Rollerball_(1975), Norman_Jewison, James_Caan, John_Houseman, Maud_Adams, John_Beck
Attack_the_Block_(2011), Joe_Cornish, John_Boyega, Jodie_Whittaker, Alex_Esmail, Leeon_Jones
Monsters_vs._Aliens_(2009), Rob_Letterman, Conrad_Vernon, Reese_Witherspoon, Rainn_Wilson, Stephen_Colbert, Seth_Rogen
Avalon_(2001), Mamoru_Oshii, Malgorzata_Foremniak, Wladyslaw_Kowalski, Jerzy_Gudejko, Dariusz_Biskupski
