Id,NodeType
The_Dark_Knight_(2008),movie
Christopher_Nolan,person
Christian_Bale,person
Heath_Ledger,person
Aaron_Eckhart,person
Michael_Caine,person
Inception_(2010),movie
Leonardo_DiCaprio,person
Joseph_Gordon-Levitt,person
Ellen_Page,person
Ken_Watanabe,person
Star_Wars:_Episode_V_-_The_Empire_Strikes_Back_(1980),movie
Irvin_Kershner,person
Mark_Hamill,person
Harrison_Ford,person
Carrie_Fisher,person
Billy_Dee_Williams,person
Star_Wars:_Episode_IV_-_A_New_Hope_(1977),movie
George_Lucas,person
Alec_Guinness,person
The_Matrix_(1999),movie
The_Wachowski_Brothers,person
Keanu_Reeves,person
Laurence_Fishburne,person
Carrie-Anne_Moss,person
Hugo_Weaving,person
Terminator_2:_Judgment_Day_(1991),movie
James_Cameron,person
Arnold_Schwarzenegger,person
Linda_Hamilton,person
Edward_Furlong,person
Robert_Patrick,person
Aliens_(1986),movie
Sigourney_Weaver,person
Michael_Biehn,person
Carrie_Henn,person
Paul_Reiser,person
Star_Wars:_Episode_VI_-_Return_of_the_Jedi_(1983),movie
Richard_Marquand,person
V_for_Vendetta_(2005),movie
James_McTeigue,person
Natalie_Portman,person
Rupert_Graves,person
Stephen_Rea,person
The_Avengers_(2012),movie
Joss_Whedon,person
Robert_Downey,person
Chris_Evans,person
Scarlett_Johansson,person
Jeremy_Renner,person
Captain_America:_The_Winter_Soldier_(2014),movie
Anthony_Russo,person
Joe_Russo,person
Samuel_L._Jackson,person
Robert_Redford,person
Terminator_(1984),movie
Paul_Winfield,person
Star_Trek_(2009),movie
J.J._Abrams,person
Chris_Pine,person
Zachary_Quinto,person
Simon_Pegg,person
Leonard_Nimoy,person
District_9_(2009),movie
Neill_Blomkamp,person
Sharlto_Copley,person
David_James,person
Jason_Cope,person
Nathalie_Boltt,person
Serenity_(2005),movie
Nathan_Fillion,person
Gina_Torres,person
Chiwetel_Ejiofor,person
Alan_Tudyk,person
Avatar_(2009),movie
Sam_Worthington,person
Zoe_Saldana,person
Michelle_Rodriguez,person
The_Iron_Giant_(1999),movie
Brad_Bird,person
Eli_Marienthal,person
