Id	Time Interval
"Waterworld_(1995)"	"<[1995,1995]>"
"Flash_Gordon_(1980)"	"<[1980,1980]>"
"WarGames_(1983)"	"<[1983,1983]>"
"RoboCop_(1987)"	"<[1987,1987]>"
"The_Abyss_(1989)"	"<[1989,1989]>"
"Honey, I_Shrunk_the_Kids_(1989)"	"<[1989,1989]>"
"Teenage_Mutant_Ninja_Turtles_(1990)"	"<[1990,1990]>"
"Tremors_(1990)"	"<[1990,1990]>"
"The_Adventures_of_the_Rocketeer_(1991)"	"<[1991,1991]>"
"Terminator_2:_Judgment_Day_(1991)"	"<[1991,1991]>"
"Alien_3_(1992)"	"<[1992,1992]>"
"Jurassic_Park_(1993)"	"<[1993,1993]>"
"Mortal_Kombat_(1995)"	"<[1995,1995]>"
"Mars_Attacks!_(1996)"	"<[1996,1996]>"
"Space_Jam_(1996)"	"<[1996,1996]>"
"The_Lost_World:_Jurassic_Park_(1997)"	"<[1997,1997]>"
"Men_in_Black_(1997)"	"<[1997,1997]>"
"Armageddon_(1998)"	"<[1998,1998]>"
"Deep_Impact_(1998)"	"<[1998,1998]>"
"Sphere_(1998)"	"<[1998,1998]>"
"The_Truman_Show_(1998)"	"<[1998,1998]>"
"The_Iron_Giant_(1999)"	"<[1999,1999]>"
"The_Matrix_(1999)"	"<[1999,1999]>"
"Star_Wars:_Episode_I_-_The_Phantom_Menace_(1999)"	"<[1999,1999]>"
"Unbreakable_(2000)"	"<[2000,2000]>"
"X-Men_(2000)"	"<[2000,2000]>"
"A.I._Artificial_Intelligence_(2001)"	"<[2001,2001]>"
"Atlantis:_The_Lost_Empire_(2001)"	"<[2001,2001]>"
"Spy_Kids_(2001)"	"<[2001,2001]>"
"Lilo_&_Stitch_(2002)"	"<[2002,2002]>"
"Men_in_Black_II_(2002)"	"<[2002,2002]>"
"Minority_Report_(2002)"	"<[2002,2002]>"
"Reign_of_Fire_(2002)"	"<[2002,2002]>"
"Resident_Evil_(2002)"	"<[2002,2002]>"
"Star_Wars:_Episode_II_-_Attack_of_the_Clones_(2002)"	"<[2002,2002]>"
"Treasure_Planet_(2002)"	"<[2002,2002]>"
"Daredevil_(2003)"	"<[2003,2003]>"
"Paycheck_(2003)"	"<[2003,2003]>"
"Terminator_3:_Rise_of_the_Machines_(2003)"	"<[2003,2003]>"
"X2_(2003)"	"<[2003,2003]>"
"AVP:_Alien_vs._Predator_(2004)"	"<[2004,2004]>"
"The_Day_After_Tomorrow_(2004)"	"<[2004,2004]>"
"Hellboy_(2004)"	"<[2004,2004]>"
"Resident_Evil:_Apocalypse_(2004)"	"<[2004,2004]>"
"Æon_Flux_(2005)"	"<[2005,2005]>"
"Chicken_Little_(2005)"	"<[2005,2005]>"
"The_Island_(2005)"	"<[2005,2005]>"
"The_Jacket_(2005)"	"<[2005,2005]>"
"Robots_(2005)"	"<[2005,2005]>"
"Sky_High_(2005)"	"<[2005,2005]>"
"Star_Wars:_Episode_III_-_Revenge_of_the_Sith_(2005)"	"<[2005,2005]>"
"War_of_the_Worlds_(2005)"	"<[2005,2005]>"
"Underworld:_Evolution_(2006)"	"<[2006,2006]>"
"X-Men:_The_Last_Stand_(2006)"	"<[2006,2006]>"
"28_Weeks_Later_(2007)"	"<[2007,2007]>"
"AVPR:_Aliens_vs_Predator_-_Requiem_(2007)"	"<[2007,2007]>"
"Fantastic_4:_Rise_of_the_Silver_Surfer_(2007)"	"<[2007,2007]>"
"The_Golden_Compass_(2007)"	"<[2007,2007]>"
"Next_(2007)"	"<[2007,2007]>"
"10,000_BC_(2008)"	"<[2008,2008]>"
"City_of_Ember_(2008)"	"<[2008,2008]>"
"Doomsday_(2008)"	"<[2008,2008]>"
"The_Incredible_Hulk_(2008)"	"<[2008,2008]>"
"Journey_to_the_Centre_of_the_Earth_(2008)"	"<[2008,2008]>"
"Star_Wars:_The_Clone_Wars_(2008)"	"<[2008,2008]>"
"2012_(2009)"	"<[2009,2009]>"
"Avatar_(2009)"	"<[2009,2009]>"
