Id,Label,newX,newY
1,AT5G60570,522,674
13,AT5G55670,613,674
2,AT4G16360,431,1360
4,AT4G25550,707,557
10,AT5G12410,801,539
5,AT1G31780,1365,462
178,AT1G25260,1456,404
6,AT5G63220,1083,2067
20,AT5G19350,1177,2013
7,AT5G09390,613,578
57,AT4G36860,707,635
8,AT4G15840,1083,2337
169,AT5G54750,895,444
11,AT5G28060,1083,1950
60,AT5G19300,1177,1955
151,AT2G47610,1177,1113
12,AT5G54910,149,1399
59,AT5G65900,243,751
67,AT4G16830,801,1268
71,AT5G61330,613,1578
14,AT5G61970,1271,1584
40,AT1G67680,1456,1545
92,AT1G07940,1365,1680
16,AT5G61530,1083,2280
9,AT5G09310,1177,2319
29,AT3G56900,1177,2280
30,AT5G15680,1177,1595
17,AT1G73430,1271,884
18,AT5G59410,1271,2319
74,AT5G16930,1365,2231
19,AT1G16570,1732,2472
21,AT5G24670,1177,1739
56,AT3G56760,1271,1737
162,AT5G20060,1271,1680
22,AT5G62600,1177,2241
23,AT5G58030,801,461
24,AT5G24840,1083,1740
25,AT5G53480,707,1152
109,AT5G27850,801,1190
140,AT4G16720,801,958
148,AT4G17390,989,1018
26,AT4G17260,989,769
3,AT4G14300,1083,808
27,AT1G57600,1365,1428
52,AT1G16560,1456,1390
28,AT5G08420,337,1218
49,AT1G31660,431,1035
96,AT4G14350,1271,1545
31,AT5G57610,149,1624
33,AT5G25060,243,1643
32,AT5G16040,1456,2280
34,AT5G27990,707,1324
79,AT4G16970,801,1499
35,AT5G15550,1547,1342
47,AT1G26160,1641,1796
68,AT5G59210,1732,1377
115,AT1G48900,1641,1434
36,AT5G66540,522,1170
54,AT5G59240,613,980
64,AT2G47420,613,1058
98,AT5G20290,801,1036
37,AT5G60980,613,1500
100,AT5G53360,613,1443
100,AT5G53360,707,1441
38,AT5G67220,989,1749
39,AT5G63680,1083,2241
42,AT5G58640,243,178
42,AT5G58640,337,183
43,AT5G58640,243,178
43,AT5G58640,337,183
41,AT4G16660,431,250
44,AT5G61140,1365,2376
45,AT5G27970,1271,1392
75,AT1G57620,1365,1506
46,AT4G14000,1365,1971
48,AT5G53940,431,2165
85,AT5G15750,707,1363
50,AT5G26110,1177,1506
53,AT4G14160,1271,1506
51,AT5G66100,55,1399
175,AT5G52650,522,1729
15,AT5G62130,1547,1390
172,AT5G58420,707,826
55,AT5G66590,989,1710
58,AT5G59950,1271,2241
61,AT5G20600,895,328
147,AT4G15770,989,444
188,AT4G15000,1083,693
62,AT5G60870,1177,2184
84,AT5G17000,1271,1950
63,AT4G17620,895,1208
77,AT5G66360,707,1056
65,AT5G59490,337,2165
66,AT5G58800,707,1537
69,AT5G15730,1641,1835
70,AT5G28740,1365,2067
72,AT5G26830,895,770
194,AT5G27470,989,808
73,AT5G52580,801,770
76,AT4G36580,1271,2145
80,AT5G55400,895,1556
81,AT5G53770,989,1671
103,AT4G15930,989,1478
83,AT5G64270,1271,2067
78,AT3G44850,1365,2010
155,AT5G19510,1365,2173
105,AT4G14240,1365,1914
86,AT5G66730,895,1517
88,AT5G16990,1177,1898
90,AT5G52200,989,1950
91,AT5G67630,149,256
87,AT5G50900,243,256
183,AT5G26710,243,217
93,AT1G32090,1641,2472
94,AT5G67490,613,1404
95,AT5G54940,989,1989
99,AT5G15610,1083,1989
198,AT1G48860,1365,1545
97,AT4G14230,1271,1989
101,AT5G59140,895,1613
82,AT4G15475,1177,1556
89,AT5G26220,989,1517
102,AT5G64830,895,1478
104,AT5G53360,613,1443
104,AT5G53360,707,1441
106,AT5G57480,989,2052
107,AT5G25800,1271,1815
187,AT5G16130,1365,1815
111,AT5G54760,895,1989
123,AT5G55180,1271,2028
133,AT5G60340,243,2165
131,AT4G36640,1365,2319
143,AT5G13520,149,217
145,AT5G55070,801,55
171,AT5G08415,895,94
149,AT5G25100,989,2454
127,AT5G35160,1083,2454
158,AT5G57330,613,539
159,AT5G56670,1083,2028
165,AT5G52820,1365,501
170,AT5G20950,1177,1408
177,AT5G58020,989,2096
121,AT5G20090,1083,2145
179,AT4G14320,1547,2472
181,AT5G59850,1177,423
184,AT5G56350,989,2337
154,AT5G53970,1083,2376
191,AT5G56710,707,596
193,AT5G27395,1177,1680
152,AT5G27550,1271,1893
195,AT4G17610,431,172
138,AT5G19830,431,2204
142,AT5G26680,1083,1633
119,AT5G59960,337,2204
156,AT5G14850,1271,1449
153,AT5G65180,613,1136
190,AT5G55560,1177,1849
173,AT5G14720,1271,1854
135,AT5G26640,707,713
197,AT5G25550,1641,1338
166,AT5G19310,337,250
185,AT5G09500,801,617
167,AT5G65750,707,133
120,AT5G51220,801,172
180,AT5G60670,801,94
116,AT5G09510,895,560
141,AT1G67820,1083,2184
146,AT5G20560,1271,2184
137,AT5G25400,1271,462
182,AT5G57320,149,1663
126,AT5G28220,895,2145
117,AT4G14695,989,2145
160,AT5G26130,989,1788
168,AT1G26270,1083,1788
113,AT5G54200,55,1360
118,AT1G31830,55,1321
144,AT5G16140,55,1282
157,AT5G25490,55,1243
186,AT5G61220,55,1204
