Waterworld_(1995),Kevin_Reynolds,Kevin_Costner,Jeanne_Tripplehorn,Dennis_Hopper,Tina_Majorino,
Flash_Gordon_(1980),Mike_Hodges,Sam_J._Jones,Melody_Anderson,Max_von_Sydow,Topol,
WarGames_(1983),John_Badham,Matthew_Broderick,Ally_Sheedy,John_Wood,Dabney_Coleman,
RoboCop_(1987),Paul_Verhoeven,Peter_Weller,Nancy_Allen,Dan_O'Herlihy,Ronny_Cox,
The_Abyss_(1989),James_Cameron,Ed_Harris,Mary_Elizabeth_Mastrantonio,Michael_Biehn,Leo_Burmester,
Honey_I_Shrunk_the_Kids_(1989),Joe_Johnston,Rick_Moranis,Matt_Frewer,Marcia_Strassman,Kristine_Sutherland,
Teenage_Mutant_Ninja_Turtles_(1990),Steve_Barron,Judith_Hoag,Elias_Koteas,Josh_Pais,David_Forman,
Tremors_(1990),Ron_Underwood,Kevin_Bacon,Fred_Ward,Finn_Carter,Michael_Gross,
The_Rocketeer_(1991),Joe_Johnston,Billy_Campbell,Jennifer_Connelly,Alan_Arkin,Timothy_Dalton,
Terminator_2:_Judgment_Day_(1991),James_Cameron,Arnold_Schwarzenegger,Linda_Hamilton,Edward_Furlong,Robert_Patrick,
AlienŒ__(1992),David_Fincher,Sigourney_Weaver,Charles_S._Dutton,Charles_Dance,Paul_McGann,
Jurassic_Park_(1993),Steven_Spielberg,Sam_Neill,Laura_Dern,Jeff_Goldblum,Richard_Attenborough,
Mortal_Kombat_(1995),Paul_Anderson,Christopher_Lambert,Robin_Shou,Linden_Ashby,Cary-Hiroyuki_Tagawa,
Mars_Attacks!_(1996),Tim_Burton,Jack_Nicholson,Pierce_Brosnan,Sarah_Jessica_Parker,Annette_Bening,
Space_Jam_(1996),Joe_Pytka,Michael_Jordan,Wayne_Knight,Theresa_Randle,Manner_Washington,
The_Lost_World:_Jurassic_Park_(1997),Steven_Spielberg,Jeff_Goldblum,Julianne_Moore,Pete_Postlethwaite,Vince_Vaughn,
Men_in_Black_(1997),Barry_Sonnenfeld,Tommy_Lee_Jones,Will_Smith,Linda_Fiorentino,Vincent_D'Onofrio,
Starship_Troopers_(1997),Paul_Verhoeven,Casper_Van_Dien,Denise_Richards,Dina_Meyer,Jake_Busey,
Armageddon_(1998),Michael_Bay,Bruce_Willis,Billy_Bob_Thornton,Ben_Affleck,Liv_Tyler,
Deep_Impact_(1998),Mimi_Leder,Robert_Duvall,TŽa_Leoni,Elijah_Wood,Morgan_Freeman,
Sphere_(1998),Barry_Levinson,Dustin_Hoffman,Sharon_Stone,Samuel_L._Jackson,Peter_Coyote,
The_Truman_Show_(1998),Peter_Weir,Jim_Carrey,Ed_Harris,Laura_Linney,Noah_Emmerich,
The_Iron_Giant_(1999),Brad_Bird,Eli_Marienthal,Harry_Connick,Jennifer_Aniston,Vin_Diesel,
The_Matrix_(1999),The_Wachowski_Brothers,The_Wachowski_Brothers,Keanu_Reeves,Laurence_Fishburne,Carrie-Anne_Moss,Hugo_Weaving
