movietitle,Time Interval
Waterworld ,"<[1995,1995]>"
Flash Gordon ,"<[1980,1980]>"
WarGames ,"<[1983,1983]>"
RoboCop ,"<[1987,1987]>"
The Abyss ,"<[1989,1989]>"
Honey I Shrunk the Kids ,"<[1989,1989]>"
Teenage Mutant Ninja Turtles ,"<[1990,1990]>"
Tremors ,"<[1990,1990]>"
The Rocketeer ,"<[1991,1991]>"
Terminator 2: Judgment Day ,"<[1991,1991]>"
AlienŒ_ ,"<[1992,1992]>"
Jurassic Park ,"<[1993,1993]>"
Mortal Kombat ,"<[1995,1995]>"
Mars Attacks! ,"<[1996,1996]>"
Space Jam ,"<[1996,1996]>"
The Lost World: Jurassic Park ,"<[1997,1997]>"
Men in Black ,"<[1997,1997]>"
Starship Troopers ,"<[1997,1997]>"
Armageddon ,"<[1998,1998]>"
Deep Impact ,"<[1998,1998]>"
Sphere ,"<[1998,1998]>"
The Truman Show ,"<[1998,1998]>"
The Iron Giant ,"<[1999,1999]>"
The Matrix ,"<[1999,1999]>"
Star Wars: Episode I - The Phantom Menace ,"<[1999,1999]>"
Unbreakable ,"<[2000,2000]>"
X-Men ,"<[2000,2000]>"
A.I. Artificial Intelligence ,"<[2001,2001]>"
Atlantis: The Lost Empire ,"<[2001,2001]>"
Spy Kids ,"<[2001,2001]>"
Lilo & Stitch ,"<[2002,2002]>"
Men in Black II ,"<[2002,2002]>"
Minority Report ,"<[2002,2002]>"
Reign of Fire ,"<[2002,2002]>"
Resident Evil ,"<[2002,2002]>"
Star Wars: Episode II - Attack of the Clones ,"<[2002,2002]>"
Treasure Planet ,"<[2002,2002]>"
Daredevil ,"<[2003,2003]>"
Paycheck ,"<[2003,2003]>"
Terminator 3: Rise of the Machines ,"<[2003,2003]>"
X2 ,"<[2003,2003]>"
AVP: Alien vs. Predator ,"<[2004,2004]>"
The Day After Tomorrow ,"<[2004,2004]>"
Hellboy ,"<[2004,2004]>"
Resident Evil: Apocalypse ,"<[2004,2004]>"
íÊon Flux ,"<[2005,2005]>"
Chicken Little ,"<[2005,2005]>"
The Island ,"<[2005,2005]>"
The Jacket ,"<[2005,2005]>"
Robots ,"<[2005,2005]>"
Sky High ,"<[2005,2005]>"
Star Wars: Episode III - Revenge of the Sith ,"<[2005,2005]>"
War of the Worlds ,"<[2005,2005]>"
Underworld: Evolution ,"<[2006,2006]>"
X-Men: The Last Stand ,"<[2006,2006]>"
28 Weeks Later ,"<[2007,2007]>"
Aliens vs. Predator: Requiem ,"<[2007,2007]>"
Fantastic 4: Rise of the Silver Surfer ,"<[2007,2007]>"
The Golden Compass ,"<[2007,2007]>"
Next ,"<[2007,2007]>"
10000 BC ,"<[2008,2008]>"
City of Ember ,"<[2008,2008]>"
Doomsday ,"<[2008,2008]>"
The Incredible Hulk ,"<[2008,2008]>"
Journey to the Center of the Earth ,"<[2008,2008]>"
Star Wars: The Clone Wars ,"<[2008,2008]>"
2012,"<[2009,2009]>"
Avatar ,"<[2009,2009]>"
The Box ,"<[2009,2009]>"
G.I. Joe: The Rise of Cobra ,"<[2009,2009]>"
Knowing ,"<[2009,2009]>"
Monsters vs. Aliens ,"<[2009,2009]>"
Pandorum ,"<[2009,2009]>"
Planet 51 ,"<[2009,2009]>"
Race to Witch Mountain ,"<[2009,2009]>"
Star Trek ,"<[2009,2009]>"
Transformers: Revenge of the Fallen ,"<[2009,2009]>"
Underworld: Rise of the Lycans ,"<[2009,2009]>"
Watchmen ,"<[2009,2009]>"
X-Men Origins: Wolverine ,"<[2009,2009]>"
Year One ,"<[2009,2009]>"
Inception ,"<[2010,2010]>"
Megamind ,"<[2010,2010]>"
Captain America: The First Avenger ,"<[2011,2011]>"
The Darkest Hour ,"<[2011,2011]>"
The Green Hornet ,"<[2011,2011]>"
Limitless ,"<[2011,2011]>"
Real Steel ,"<[2011,2011]>"
Rise of the Planet of the Apes ,"<[2011,2011]>"
Source Code ,"<[2011,2011]>"
Spy Kids: All the Time in the World in 4D ,"<[2011,2011]>"
The Thing ,"<[2011,2011]>"
Transformers: Dark of the Moon ,"<[2011,2011]>"
X-Men: First Class ,"<[2011,2011]>"
Battleship ,"<[2012,2012]>"
Chernobyl Diaries ,"<[2012,2012]>"
Cloud Atlas ,"<[2012,2012]>"
Dredd ,"<[2012,2012]>"
Frankenweenie ,"<[2012,2012]>"
The Hunger Games ,"<[2012,2012]>"
Journey 2: The Mysterious Island ,"<[2012,2012]>"
Lockout ,"<[2012,2012]>"
Looper ,"<[2012,2012]>"
Men in Black 3 ,"<[2012,2012]>"
Prometheus ,"<[2012,2012]>"
Resident Evil: Retribution ,"<[2012,2012]>"
Total Recall ,"<[2012,2012]>"
The Watch ,"<[2012,2012]>"
Gravity ,"<[2013,2013]>"
World War Z ,"<[2013,2013]>"
Oblivion ,"<[2013,2013]>"
Man of Steel ,"<[2013,2013]>"
Pacific Rim ,"<[2013,2013]>"
The Hunger Games: Catching Fire ,"<[2013,2013]>"
The Host ,"<[2013,2013]>"
The Wolverine ,"<[2013,2013]>"
Elysium ,"<[2013,2013]>"
After Earth ,"<[2013,2013]>"
Iron Man 3 ,"<[2013,2013]>"
Star Trek Into Darkness ,"<[2013,2013]>"
Logan's Run ,"<[1976,1976]>"
Star Wars ,"<[1977,1977]>"
Superman ,"<[1978,1978]>"
Alien ,"<[1979,1979]>"
Upside Down ,"<[2012,2012]>"
Airplane II: The Sequel ,"<[1982,1982]>"
Blue Thunder ,"<[1983,1983]>"
The Entity ,"<[1982,1982]>"
The Man with Two Brains ,"<[1983,1983]>"
The Right Stuff ,"<[1983,1983]>"
2010,"<[1984,1984]>"
The Last Starfighter ,"<[1984,1984]>"
Night of the Comet ,"<[1984,1984]>"
Starman ,"<[1984,1984]>"
D.A.R.Y.L. ,"<[1985,1985]>"
Enemy Mine ,"<[1985,1985]>"
My Science Project ,"<[1985,1985]>"
Real Genius ,"<[1985,1985]>"
The Return of the Living Dead ,"<[1985,1985]>"
Critters ,"<[1986,1986]>"
Howard the Duck ,"<[1986,1986]>"
Maximum Overdrive ,"<[1986,1986]>"
Solarbabies ,"<[1986,1986]>"
SpaceCamp ,"<[1986,1986]>"
The Transformers: The Movie ,"<[1986,1986]>"
*batteries not included ,"<[1987,1987]>"
The Hidden ,"<[1987,1987]>"
Masters of the Universe ,"<[1987,1987]>"
The Monster Squad ,"<[1987,1987]>"
Project X ,"<[1987,1987]>"
Alien Nation ,"<[1988,1988]>"
The Blob ,"<[1988,1988]>"
Mac and Me ,"<[1988,1988]>"
My Stepmother Is an Alien ,"<[1988,1988]>"
Leviathan ,"<[1989,1989]>"
RoboCop 2 ,"<[1990,1990]>"
Bill & Ted's Bogus Journey ,"<[1991,1991]>"
Suburban Commando ,"<[1991,1991]>"
Forever Young ,"<[1992,1992]>"
Freejack ,"<[1992,1992]>"
Honey I Blew Up the Kid ,"<[1992,1992]>"
Split Second ,"<[1992,1992]>"
Batman: Mask of the Phantasm ,"<[1993,1993]>"
RoboCop 3 ,"<[1993,1993]>"
Teenage Mutant Ninja Turtles III ,"<[1993,1993]>"
Frankenstein ,"<[1994,1994]>"
No Escape ,"<[1994,1994]>"
Street Fighter ,"<[1994,1994]>"
Congo ,"<[1995,1995]>"
Mighty Morphin Power Rangers: The Movie ,"<[1995,1995]>"
Powder ,"<[1995,1995]>"
Species ,"<[1995,1995]>"
Strange Days ,"<[1995,1995]>"
Chain Reaction ,"<[1996,1996]>"
Eraser ,"<[1996,1996]>"
The Island of Dr. Moreau ,"<[1996,1996]>"
Multiplicity ,"<[1996,1996]>"
The Nutty Professor ,"<[1996,1996]>"
Phenomenon ,"<[1996,1996]>"
Flubber ,"<[1997,1997]>"
Mimic ,"<[1997,1997]>"
The Postman ,"<[1997,1997]>"
RocketMan ,"<[1997,1997]>"
Steel ,"<[1997,1997]>"
Turbo: A Power Rangers Movie ,"<[1997,1997]>"
Volcano ,"<[1997,1997]>"
The Avengers ,"<[1998,1998]>"
Disturbing Behavior ,"<[1998,1998]>"
Lost in Space ,"<[1998,1998]>"
Mighty Joe Young ,"<[1998,1998]>"
Phantoms ,"<[1998,1998]>"
Small Soldiers ,"<[1998,1998]>"
Soldier ,"<[1998,1998]>"
Baby Geniuses ,"<[1999,1999]>"
Bicentennial Man ,"<[1999,1999]>"
