The_Wolverine_(2013), James_Mangold, Hugh_Jackman, Will_Yun_Lee, Tao_Okamoto, Rila_Fukushima
Superman_II_(1980), Richard_Lester, Gene_Hackman, Christopher_Reeve, Margot_Kidder, Ned_Beatty
Star_Wars:_Episode_II_-_Attack_of_the_Clones_(2002), George_Lucas, Hayden_Christensen, Natalie_Portman, Ewan_McGregor, Christopher_Lee
A_Man_Called_Nereus_(2012), Nathan_Hill, Seth_Gandrud, David_C._Hayes, Orchid_Tao, Joe_Ricci
X-Men_Origins:_Wolverine_(2009), Gavin_Hood, Hugh_Jackman, Liev_Schreiber, Ryan_Reynolds, Danny_Huston
Underworld:_Evolution_(2006), Len_Wiseman, Kate_Beckinsale, Scott_Speedman, Bill_Nighy, Tony_Curran
Battle_for_Terra_(2007), Aristomenis_Tsirbas, Evan_Rachel_Wood, Luke_Wilson, Justin_Long, Chad_Allen
Terminator_Salvation_(2009), McG, Christian_Bale, Sam_Worthington, Anton_Yelchin, Moon_Bloodgood
Elysium_(2013), Neill_Blomkamp, Matt_Damon, Jodie_Foster, Sharlto_Copley, Alice_Braga
The_Final_Countdown_(1980), Don_Taylor, Kirk_Douglas, Martin_Sheen, Katharine_Ross, James_Farentino
Resident_Evil_(2002), Paul_W.S._Anderson, Milla_Jovovich, Michelle_Rodriguez, Ryan_McCluskey, Oscar_Pearce
Diamonds_Are_Forever_(1971), Guy_Hamilton, Sean_Connery, Jill_St._John, Charles_Gray, Lana_Wood
The_Matrix_Revolutions_(2003), The_Wachowski_Brothers, The_Wachowski_Brothers, Keanu_Reeves, Laurence_Fishburne, Carrie-Anne_Moss, Hugo_Weaving
The_Last_Starfighter_(1984), Nick_Castle, Lance_Guest, Robert_Preston, Kay_E._Kuter, Dan_Mason
Teenage_Mutant_Ninja_Turtles_(1990), Steve_Barron, Judith_Hoag, Elias_Koteas, Josh_Pais, David_Forman
The_Chronicles_of_Riddick_(2004), David_Twohy, Vin_Diesel, Judi_Dench, Colm_Feore, Thandie_Newton
Blade_II_(2002), Guillermo_del_Toro, Wesley_Snipes, Kris_Kristofferson, Ron_Perlman, Leonor_Varela
Moon_Child_(2003), Takahisa_Zeze, Hyde, Gackt, Leehom_Wang, Tarô_Yamamoto
In_Time_(2011), Andrew_Niccol, Justin_Timberlake, Amanda_Seyfried, Cillian_Murphy, Olivia_Wilde
