Label,newX,newY
AT5G60570,522,674
AT5G55670,613,674
AT4G16360,431,1360
AT4G25550,707,557
AT5G12410,801,539
AT1G31780,1365,462
AT1G25260,1456,404
AT5G63220,1083,2067
AT5G19350,1177,2013
AT5G09390,613,578
AT4G36860,707,635
AT4G15840,1083,2337
AT5G54750,895,444
AT5G28060,1083,1950
AT5G19300,1177,1955
AT2G47610,1177,1113
AT5G54910,149,1399
AT5G65900,243,751
AT4G16830,801,1268
AT5G61330,613,1578
AT5G61970,1271,1584
AT1G67680,1456,1545
AT1G07940,1365,1680
AT5G61530,1083,2280
AT5G09310,1177,2319
AT3G56900,1177,2280
AT5G15680,1177,1595
AT1G73430,1271,884
AT5G59410,1271,2319
AT5G16930,1365,2231
AT1G16570,1732,2472
AT5G24670,1177,1739
AT3G56760,1271,1737
AT5G20060,1271,1680
AT5G62600,1177,2241
AT5G58030,801,461
AT5G24840,1083,1740
AT5G53480,707,1152
AT5G27850,801,1190
AT4G16720,801,958
AT4G17390,989,1018
AT4G17260,989,769
AT4G14300,1083,808
AT1G57600,1365,1428
AT1G16560,1456,1390
AT5G08420,337,1218
AT1G31660,431,1035
AT4G14350,1271,1545
AT5G57610,149,1624
AT5G25060,243,1643
AT5G16040,1456,2280
AT5G27990,707,1324
AT4G16970,801,1499
AT5G15550,1547,1342
AT1G26160,1641,1796
AT5G59210,1732,1377
AT1G48900,1641,1434
AT5G66540,522,1170
AT5G59240,613,980
AT2G47420,613,1058
AT5G20290,801,1036
AT5G60980,613,1500
AT5G53360,707,1441
AT5G67220,989,1749
AT5G63680,1083,2241
AT5G58640,243,178
AT5G58640,337,183
AT4G16660,431,250
AT5G61140,1365,2376
AT5G27970,1271,1392
AT1G57620,1365,1506
AT4G14000,1365,1971
AT5G53940,431,2165
AT5G15750,707,1363
AT5G26110,1177,1506
AT4G14160,1271,1506
AT5G66100,55,1399
AT5G52650,522,1729
AT5G62130,1547,1390
AT5G58420,707,826
AT5G66590,989,1710
AT5G59950,1271,2241
AT5G20600,895,328
AT4G15770,989,444
AT4G15000,1083,693
AT5G60870,1177,2184
AT5G17000,1271,1950
AT4G17620,895,1208
AT5G66360,707,1056
AT5G59490,337,2165
AT5G58800,707,1537
AT5G15730,1641,1835
AT5G28740,1365,2067
AT5G26830,895,770
AT5G27470,989,808
AT5G52580,801,770
AT4G36580,1271,2145
AT5G55400,895,1556
AT5G53770,989,1671
AT4G15930,989,1478
AT5G64270,1271,2067
AT3G44850,1365,2010
AT5G19510,1365,2173
AT4G14240,1365,1914
AT5G66730,895,1517
AT5G16990,1177,1898
AT5G52200,989,1950
AT5G67630,149,256
AT5G50900,243,256
AT5G26710,243,217
AT1G32090,1641,2472
AT5G67490,613,1404
AT5G54940,989,1989
AT5G15610,1083,1989
AT1G48860,1365,1545
AT4G14230,1271,1989
AT5G59140,895,1613
AT4G15475,1177,1556
AT5G26220,989,1517
AT5G64830,895,1478
AT5G53360,613,1443
AT5G57480,989,2052
AT5G25800,1271,1815
AT5G16130,1365,1815
AT5G54760,895,1989
AT5G55180,1271,2028
AT5G60340,243,2165
AT4G36640,1365,2319
AT5G13520,149,217
AT5G55070,801,55
AT5G08415,895,94
AT5G25100,989,2454
AT5G35160,1083,2454
AT5G57330,613,539
AT5G56670,1083,2028
AT5G52820,1365,501
AT5G20950,1177,1408
AT5G58020,989,2096
AT5G20090,1083,2145
AT4G14320,1547,2472
AT5G59850,1177,423
AT5G56350,989,2337
AT5G53970,1083,2376
AT5G56710,707,596
AT5G27395,1177,1680
AT5G27550,1271,1893
AT4G17610,431,172
AT5G19830,431,2204
AT5G26680,1083,1633
AT5G59960,337,2204
AT5G14850,1271,1449
AT5G65180,613,1136
AT5G55560,1177,1849
AT5G14720,1271,1854
AT5G26640,707,713
AT5G25550,1641,1338
AT5G19310,337,250
AT5G09500,801,617
AT5G65750,707,133
AT5G51220,801,172
AT5G60670,801,94
AT5G09510,895,560
AT1G67820,1083,2184
AT5G20560,1271,2184
AT5G25400,1271,462
AT5G57320,149,1663
AT5G28220,895,2145
AT4G14695,989,2145
AT5G26130,989,1788
AT1G26270,1083,1788
AT5G54200,55,1360
AT1G31830,55,1321
AT5G16140,55,1282
AT5G25490,55,1243
AT5G61220,55,1204
