"Character Id: 40454, Name: Hellion"	Number of Issues: 605					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
187695	2010	2	http://media.comicvine.com/uploads/0/5344/1061460-leg_super.jpg	http://media.comicvine.com/uploads/0/5344/1061460-leg_icon.jpg	1061460-leg_super.jpg	1061460-leg_icon.jpg
175163	2009	10	http://media.comicvine.com/uploads/0/5756/983114-dpv3_016_c01_super.jpg	http://media.comicvine.com/uploads/0/5756/983114-dpv3_016_c01_icon.jpg	983114-dpv3_016_c01_super.jpg	983114-dpv3_016_c01_icon.jpg
105955	2006	4	http://media.comicvine.com/uploads/0/787/87172-18078-105955-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/787/87172-18078-105955-1-new-x-men-vol-2_icon.jpg	87172-18078-105955-1-new-x-men-vol-2_super.jpg	87172-18078-105955-1-new-x-men-vol-2_icon.jpg
105973	2006	2	http://media.comicvine.com/uploads/0/787/87320-18078-105973-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/787/87320-18078-105973-1-new-x-men-vol-2_icon.jpg	87320-18078-105973-1-new-x-men-vol-2_super.jpg	87320-18078-105973-1-new-x-men-vol-2_icon.jpg
105984	2006	3	http://media.comicvine.com/uploads/0/787/87418-18078-105984-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/787/87418-18078-105984-1-new-x-men-vol-2_icon.jpg	87418-18078-105984-1-new-x-men-vol-2_super.jpg	87418-18078-105984-1-new-x-men-vol-2_icon.jpg
106023	2006	5	http://media.comicvine.com/uploads/0/787/87751-18078-106023-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/787/87751-18078-106023-1-new-x-men-vol-2_icon.jpg	87751-18078-106023-1-new-x-men-vol-2_super.jpg	87751-18078-106023-1-new-x-men-vol-2_icon.jpg
106040	2004	8	http://media.comicvine.com/uploads/0/77/87841-18078-106040-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/87841-18078-106040-1-new-x-men-vol-2_icon.jpg	87841-18078-106040-1-new-x-men-vol-2_super.jpg	87841-18078-106040-1-new-x-men-vol-2_icon.jpg
106041	2004	9	http://media.comicvine.com/uploads/0/787/88015-18078-106041-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/787/88015-18078-106041-1-new-x-men-vol-2_icon.jpg	88015-18078-106041-1-new-x-men-vol-2_super.jpg	88015-18078-106041-1-new-x-men-vol-2_icon.jpg
106150	2004	10	http://media.comicvine.com/uploads/0/787/89400-18078-106150-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/787/89400-18078-106150-1-new-x-men-vol-2_icon.jpg	89400-18078-106150-1-new-x-men-vol-2_super.jpg	89400-18078-106150-1-new-x-men-vol-2_icon.jpg
