"Character Id: 1444, Name: Storm"	Number of Issues: 4327					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
14890	1975	5	http://media.comicvine.com/uploads/0/4/13286-2763-14890-1-giant-size-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/13286-2763-14890-1-giant-size-x-men_icon.jpg	13286-2763-14890-1-giant-size-x-men_super.jpg	13286-2763-14890-1-giant-size-x-men_icon.jpg
216929	1975	6	http://media.comicvine.com/uploads/6/65334/1248712-foom_v1_010_super.jpg	http://media.comicvine.com/uploads/6/65334/1248712-foom_v1_010_icon.jpg	1248712-foom_v1_010_super.jpg	1248712-foom_v1_010_icon.jpg
15508	1975	8	http://media.comicvine.com/uploads/0/4/13846-2133-15508-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/13846-2133-15508-1-x-men_icon.jpg	13846-2133-15508-1-x-men_super.jpg	13846-2133-15508-1-x-men_icon.jpg
15711	1975	10	http://media.comicvine.com/uploads/0/4/14038-2133-15711-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/14038-2133-15711-1-x-men_icon.jpg	14038-2133-15711-1-x-men_super.jpg	14038-2133-15711-1-x-men_icon.jpg
15889	1975	12	http://media.comicvine.com/uploads/0/4/14205-2133-15889-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/14205-2133-15889-1-x-men_icon.jpg	14205-2133-15889-1-x-men_super.jpg	14205-2133-15889-1-x-men_icon.jpg
15915	1976	-1	http://media.comicvine.com/uploads/0/4/14227-2863-15915-1-marvel-team-up-annua_super.jpg	http://media.comicvine.com/uploads/0/4/14227-2863-15915-1-marvel-team-up-annua_icon.jpg	14227-2863-15915-1-marvel-team-up-annua_super.jpg	14227-2863-15915-1-marvel-team-up-annua_icon.jpg
16100	1976	2	http://media.comicvine.com/uploads/0/4/14398-2133-16100-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/14398-2133-16100-1-x-men_icon.jpg	14398-2133-16100-1-x-men_super.jpg	14398-2133-16100-1-x-men_icon.jpg
67500	1976	2	http://media.comicvine.com/uploads/0/4/51238-2702-67500-1-spidey-super-stories_super.jpg	http://media.comicvine.com/uploads/0/4/51238-2702-67500-1-spidey-super-stories_icon.jpg	51238-2702-67500-1-spidey-super-stories_super.jpg	51238-2702-67500-1-spidey-super-stories_icon.jpg
16278	1976	4	http://media.comicvine.com/uploads/0/4/14568-2133-16278-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/14568-2133-16278-1-x-men_icon.jpg	14568-2133-16278-1-x-men_super.jpg	14568-2133-16278-1-x-men_icon.jpg
