issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
6694	1963	9	1355017-uxm_v1_001_01_icon.jpg		
6787	1963	11	1355032-01_icon.jpg		
6938	1964	1	6346-2128-6938-1-avengers-the_icon.jpg		
6946	1964	1	1355038-01_icon.jpg		
6944	1964	1	6352-2007-6944-1-tales-of-suspense_icon.jpg		
6837	1964	1	6261-2189-6837-1-amazing-spider-man-a_icon.jpg		
7032	1964	3	1356279-01_icon.jpg		
7114	1964	5	1357837-01_icon.jpg		
110949	1964	5	139072-18066-110949-1-strange-tales_icon.jpg		
7207	1964	7	1376114-01_icon.jpg		
7200	1964	7	6593-2045-7200-1-fantastic-four_icon.jpg		
7310	1964	9	1377294-01_icon.jpg		
7431	1964	11	1377429-01_icon.jpg		
7504	1965	0	6878-2129-7504-1-fantastic-four-annua_icon.jpg		
7559	1965	1	1377485-01_icon.jpg		
119631	1965	1	252314-2293-119631-1-marvel-tales_icon.jpg		
7674	1965	3	7019-2133-7674-1-x-men_icon.jpg		
7667	1965	3	7012-2045-7667-1-fantastic-four_icon.jpg		
7782	1965	5	7111-2133-7782-1-x-men_icon.jpg		
7900	1965	7	7207-2133-7900-1-x-men_icon.jpg		
8037	1965	9	7314-2133-8037-1-x-men_icon.jpg		
8170	1965	11	7424-2133-8170-1-x-men_icon.jpg		
8238	1965	12	7484-2133-8238-1-x-men_icon.jpg		
8315	1966	1	7540-2133-8315-1-x-men_icon.jpg		
8375	1966	2	7595-2133-8375-1-x-men_icon.jpg		
8435	1966	3	7648-2133-8435-1-x-men_icon.jpg		
8498	1966	4	7703-2133-8498-1-x-men_icon.jpg		
8553	1966	5	7751-2133-8553-1-x-men_icon.jpg		
8621	1966	6	7813-2133-8621-1-x-men_icon.jpg		
8674	1966	7	7859-2133-8674-1-x-men_icon.jpg		
8740	1966	8	7917-2133-8740-1-x-men_icon.jpg		
8819	1966	9	7989-2133-8819-1-x-men_icon.jpg		
8885	1966	10	8049-2133-8885-1-x-men_icon.jpg		
8951	1966	11	8108-2133-8951-1-x-men_icon.jpg		
9025	1966	12	8175-2133-9025-1-x-men_icon.jpg		
9098	1967	1	8240-2133-9098-1-x-men_icon.jpg		
9162	1967	2	8297-2133-9162-1-x-men_icon.jpg		
255017	1967	2	1605012-fantastic_10_icon.jpg		
9234	1967	3	8363-2133-9234-1-x-men_icon.jpg		
9302	1967	4	8426-2133-9302-1-x-men_icon.jpg		
9364	1967	5	8482-2133-9364-1-x-men_icon.jpg		
111072	1967	5	2199709-156_icon.jpg		
9434	1967	6	8547-2133-9434-1-x-men_icon.jpg		
9493	1967	7	8596-2133-9493-1-x-men_icon.jpg		
9565	1967	8	8663-2133-9565-1-x-men_icon.jpg		
9625	1967	9	8718-2133-9625-1-x-men_icon.jpg		
9695	1967	10	8784-2133-9695-1-x-men_icon.jpg		
9763	1967	11	8845-2133-9763-1-x-men_icon.jpg		
9761	1967	11	8843-2008-9761-1-tales-to-astonish_icon.jpg		
9825	1967	12	8901-2133-9825-1-x-men_icon.jpg		
9888	1968	1	8957-2133-9888-1-x-men_icon.jpg		
9945	1968	2	9004-2133-9945-1-x-men_icon.jpg		
248276	1968	2	1547627-fantastic52_icon.jpg		
249728	1968	2	1570406-fantastic_53_icon.jpg		
105594	1968	3	191952-2133-105594-2-x-men_icon.jpg		
114499	1968	4	193560-2133-114499-1-x-men_icon.jpg		
114520	1968	5	194049-2133-114520-1-x-men_icon.jpg		
113987	1968	6	184750-2128-113987-1-the-avengers_icon.jpg		
123659	1968	6	315146-2133-123659-1-x-men_icon.jpg		
123671	1968	7	315172-2133-123671-1-x-men_icon.jpg		
123672	1968	8	315173-2133-123672-1-x-men_icon.jpg		
123674	1968	10	315180-2133-123674-1-x-men_icon.jpg		
114340	1968	11	191722-2133-114340-1-x-men_icon.jpg		
114405	1968	12	192484-2133-114405-1-x-men_icon.jpg		
10002	1969	1	9051-2133-10002-1-x-men_icon.jpg		
9987	1969	1	9036-2128-9987-1-avengers-the_icon.jpg		
10056	1969	2	9105-2133-10056-1-x-men_icon.jpg		
10107	1969	3	9152-2133-10107-1-x-men_icon.jpg		
10163	1969	4	9203-2133-10163-1-x-men_icon.jpg		
10160	1969	4	9200-2411-10160-1-silver-surfer-the_icon.jpg		
10215	1969	5	9252-2133-10215-1-x-men_icon.jpg		
10270	1969	6	9303-2133-10270-1-x-men_icon.jpg		
10268	1969	6	9301-2413-10268-1-sub-mariner_icon.jpg		
10317	1969	7	9347-2133-10317-1-x-men_icon.jpg		
10311	1969	7	9341-2353-10311-1-marvel-super-heroes_icon.jpg		
10366	1969	8	9394-2133-10366-1-x-men_icon.jpg		
10417	1969	9	9443-2133-10417-1-x-men_icon.jpg		
10409	1969	9	9435-2353-10409-1-marvel-super-heroes_icon.jpg		
10410	1969	9	9436-2293-10410-1-marvel-tales_icon.jpg		
10475	1969	10	9498-2133-10475-1-x-men_icon.jpg		
10526	1969	11	9547-2133-10526-1-x-men_icon.jpg		
10517	1969	11	9538-2353-10517-1-marvel-super-heroes_icon.jpg		
10580	1969	12	9598-2133-10580-1-x-men_icon.jpg		
10635	1970	1	1316939-xcover_icon.jpg		
10625	1970	1	9633-2353-10625-1-marvel-super-heroes_icon.jpg		
10676	1970	2	9683-2133-10676-1-x-men_icon.jpg		
10724	1970	3	9730-2133-10724-1-x-men_icon.jpg		
10715	1970	3	9721-2353-10715-1-marvel-super-heroes_icon.jpg		
10807	1970	5	9811-2353-10807-1-marvel-super-heroes_icon.jpg		
10903	1970	7	9903-2353-10903-1-marvel-super-heroes_icon.jpg		
123954	1970	8	316896-20665-123954-1-marvel-s-greatest-co_icon.jpg		
11168	1970	12	10148-2133-11168-1-x-men_icon.jpg		
138675	1970	12	539692-x_menspecial1970_01_00fc_icon.jpg		
11214	1971	1	10185-2127-11214-1-amazing-spider-man-_icon.jpg		
11288	1971	2	10253-2133-11288-1-x-men_icon.jpg		
