issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
107651	1963	11	2003/11	102365-18351-107651-1-new-mutants_icon.jpg	66	63	6
107651	2003	11	2003/11	102365-18351-107651-1-new-mutants_icon.jpg	66	63	6
108406	2003	12	2003/12	107340-18351-108406-1-new-mutants_icon.jpg	283	57	10
307125	2003	3	2003/3	2128907-xme111_icon.jpg	27	30	40
107647	2003	8	2003/8	102292-18351-107647-1-new-mutants_icon.jpg	16	80	43
107652	2003	9	2003/9	102313-18351-107652-1-new-mutants_icon.jpg	26	75	68
108407	2004	1	2004/1	107347-18351-108407-1-new-mutants_icon.jpg	37	46	44
108408	2004	1	2004/1	107354-18351-108408-1-new-mutants_icon.jpg	19	61	9
275731	2004	10	2004/10	1872123-x_men_deluxe114_icon.jpg	28	37	14
325176	2004	10	2004/10	2266417-maximum_x_men_10_icon.jpg	131	48	14
106150	2004	10	2004/10	89400-18078-106150-1-new-x-men-vol-2_icon.jpg	47	36	12
275732	2004	11	2004/11	1872130-x_men_deluxe115_icon.jpg	32	44	13
106151	2004	11	2004/11	88308-18078-106151-1-new-x-men-vol-2_icon.jpg	358	51	9
275733	2004	12	2004/12	1872137-x_men_deluxe116_icon.jpg	254	41	13
299975	2004	12	2004/12	2059573-36_icon.jpg	272	50	11
106152	2004	12	2004/12	88309-18078-106152-1-new-x-men-vol-2_icon.jpg	42	32	18
108409	2004	2	2004/2	107367-18351-108409-1-new-mutants_icon.jpg	15	52	44
325168	2004	2	2004/2	2266401-maximum_x_men_2_icon.jpg	47	74	26
108410	2004	3	2004/3	107373-18351-108410-1-new-mutants_icon.jpg	118	43	19
325170	2004	4	2004/4	2266407-maximum_x_men_4_icon.jpg	36	71	78
275631	2004	5	2004/5	1871389-x_men_deluxe109_icon.jpg	26	68	9
108413	2004	6	2004/6	107376-18351-108413-1-new-mutants_icon.jpg	35	51	16
275659	2004	6	2004/6	1871473-x_men_deluxe110_icon.jpg	29	45	57
325172	2004	6	2004/6	2266410-maximum_x_men_6_icon.jpg	118	67	5
325174	2004	8	2004/8	2266412-maximum_x_men_8_icon.jpg	26	74	20
106040	2004	8	2004/8	87841-18078-106040-1-new-x-men-vol-2_icon.jpg	20	48	38
275727	2004	9	2004/9	1872118-x_men_deluxe113_icon.jpg	221	48	14
106041	2004	9	2004/9	88015-18078-106041-1-new-x-men-vol-2_icon.jpg	187	56	17
167046	2005	-1	2005/-1	916391-on_ice_icon.jpg	36	29	50
186507	2005	1	2005/1	1052896-choosingsides_icon.jpg	103	47	4
275739	2005	1	2005/1	1872172-x_men_deluxe117_icon.jpg	355	31	11
299976	2005	1	2005/1	2059574-37_icon.jpg	194	68	16
106270	2005	1	2005/1	89186-18078-106270-1-new-x-men-vol-2_icon.jpg	21	33	22
275067	2005	10	2005/10	1866847-02_icon.jpg	117	70	3
275787	2005	10	2005/10	1872689-x_men_deluxe126_icon.jpg	12	31	40
300145	2005	10	2005/10	2060306-105_icon.jpg	22	35	36
300334	2005	10	2005/10	2061118-58_icon.jpg	229	50	3
106307	2005	10	2005/10	89409-18147-106307-1-new-x-men-academy-x_icon.jpg	15	47	43
106294	2005	10	2005/10	89414-18078-106294-1-new-x-men-vol-2_icon.jpg	264	36	4
275068	2005	11	2005/11	1866848-03_icon.jpg	358	52	10
275789	2005	11	2005/11	1872698-x_men_deluxe127_icon.jpg	357	35	9
299986	2005	11	2005/11	2059589-47_icon.jpg	20	42	18
300146	2005	11	2005/11	2060307-106_icon.jpg	257	52	9
106295	2005	11	2005/11	89417-18078-106295-1-new-x-men-vol-2_icon.jpg	10	38	45
275069	2005	12	2005/12	1866849-04_icon.jpg	24	39	15
275793	2005	12	2005/12	1872721-x_men_deluxe128_icon.jpg	175	57	36
288913	2005	12	2005/12	1978130-x_men186_icon.jpg	34	48	18
