deviationid	username	random	uploaded_date	filename	Red_Mean	Blue_Mean	Green_Mean	Hue_Mean	Hue_Std	Sat_Mean	Sat_Median	Sat_Std	Contrast_8	Correlation_8	Energy_8	Edge_Amount_Sobel	Entropy	Brightness_Mean	Brightness_Median	Brightness_Std
119902482	Artico621	3.91E-05	38461	Fractal Art/000000/Around_The_Round_by_Artico621.jpg	85.56397	159.466179	72.143795	0.672623	0.10041	0.622137	0.674556	0.159832	2.062382	0.344946	0.134977	0.031352	7.084591	86.10639	71	44.351158
186913410	WS-Clave	0.000149754	39041	Miscellaneous/Fantasy/000000/ca7390d3b16d51b3ee2e72326e5dfef4-d33a7b6.jpg	239.009789	241.071722	240.031941	0.067699	0.184437	0.022345	0	0.083322	1.181081	0.646904	0.738507	0.019667	1.639183	239.842527	255	46.638363
107434800	Jellaboom	0.000242556	38346	Fractal Art/000000/PANDEMONIUM_by_Jellaboom.jpg	17.796356	16.741991	13.710779	0.475937	0.312996	0.71753	0.8	0.288149	0.469546	0.479145	0.450713	0.024973	5.317066	15.275147	8	21.319752
177878081	Xantipa2	0.000281481	38962	Mixed Media/Abstract/000000/ab10_autumn_variations_by_xantipa2-d2xwjlt.jpg	84.794153	43.285481	62.844611	0.146049	0.2154	0.4801	0.476744	0.306193	2.088512	0.506996	0.062475	0.042764	6.962201	67.178064	60	52.304949
82658562	VirusNO1	0.000289564	38089	Fractal Art/000000/a8525157e8c2952ad99966af2d3f8dc6.jpg	71.131477	109.186251	94.14864	0.486648	0.155989	0.466029	0.284153	0.402136	0.724072	0.82133	0.080592	0.034559	7.517578	88.968844	92	50.106478
147830786	Jellaboom	0.000435241	38709	3-Dimensional Art/Scenes/Landscapes/000000/DARK_DAYS_by_Jellaboom.jpg	66.982374	49.415905	59.030995	0.111389	0.078217	0.245543	0.25	0.099724	0.136538	0.970091	0.297641	0.010079	5.807203	60.346094	73	50.89414
85651650	n8iveattitude1	0.000803222	38120	Fractal Art/000000/Spiro_Spring_by_n8iveattitude1.jpg	84.420919	69.361444	72.606714	0.4857	0.364728	0.295373	0.264706	0.160985	0.745864	0.707232	0.161634	0.028032	7.080359	75.774431	67	39.372672
65933328	SfinxMagnum	0.000874996	37891	Fractal Art/000000/Reverbering_fly_by_SfinxMagnum.jpg	4.780019	3.882531	4.356967	0.040893	0.155719	0.071869	0	0.225683	0.360724	0.244616	0.78548	0.021325	1.961977	4.429641	0	17.155923
122807168	Artico621	0.000909323	38488	Fractal Art/000000/Moon_Over_APO_Pond_by_Artico621.jpg	138.762622	73.56307	80.978466	0.022175	0.05325	0.477755	0.5	0.125953	0.225572	0.841739	0.229763	0.022391	6.818258	97.423334	95	28.465689
23844545	swinck	0.001041373	37173	Fractal Art/000000/Fantasie_alien_dream_VI_by_swinck.jpg	102.355742	69.634977	53.420765	0.532759	0.359695	0.716364	0.909091	0.305129	0.671233	0.86231	0.125089	0.025411	6.875077	69.843956	47	54.696832
126475202	n8iveattitude1	0.001182958	38521	Fractal Art/000000/09_06_19_apo2_by_n8iveattitude1.jpg	37.063878	19.254546	31.641393	0.135752	0.176574	0.414923	0.442503	0.345398	2.913543	0.342711	0.260212	0.041668	5.560275	31.867704	6	52.475489
117955184	Jellaboom	0.00118504	38444	Fractal Art/000000/DEW_ON_A_DEAD_LEAF_by_Jellaboom.jpg	62.131001	7.845408	46.392915	0.091855	0.101471	0.655889	0.878049	0.41549	0.654936	0.811405	0.165756	0.035873	6.018315	46.703796	44	46.741159
134589745	Xantipa2	0.00139232	38587	Fractal Art/000000/abf85290ffa119b592d7f96ca1f38c40.jpg	61.565352	61.534439	61.558203	0.001502	0.029582	0.000619	0	0.014088	1.359205	0.72219	0.117276	0.041736	7.257454	61.557591	48	55.059236
59188418	Xantipa2	0.001477354	37807	Fractal Art/000000/Energy_01_by_Xantipa2.jpg	91.34957	9.707612	34.81552	0.090669	0.204455	0.772853	0.9375	0.3462	0.790694	0.739891	0.137944	0.023557	6.659507	48.851871	41	43.143466
71753200	n8iveattitude1	0.001645094	37964	Fractal Art/000000/my_grannies_sweater_by_n8iveattitude1.jpg	215.677336	142.580914	176.26836	0.127348	0.187521	0.35441	0.368715	0.130183	1.234631	0.60572	0.062881	0.035368	7.317804	184.225578	185	43.377647
76652850	SfinxMagnum	0.002085126	38022	Fractal Art/000000/Partial_dream_by_SfinxMagnum.jpg	33.971738	19.187325	15.913279	0.574219	0.405946	0.696954	0.818182	0.305297	1.658558	0.394159	0.623258	0.009099	4.978648	21.6917	6	51.22966
105830912	Artico621	0.002099448	38329	Mixed Media/Abstract/000000/Pause_by_Artico621.jpg	81.091566	129.735375	131.824009	0.4693	0.181397	0.578126	0.610169	0.236466	1.723941	0.542075	0.076241	0.026598	7.494472	116.409278	107	48.228396
67308160	SfinxMagnum	0.002386168	37907	Fractal Art/000000/Dorsal_by_SfinxMagnum.jpg	14.285614	10.602939	11.853672	0.084216	0.21889	0.241746	0	0.341362	1.012881	0.339204	0.599865	0.015014	3.820513	12.432847	1	36.661121
146827922	Jellaboom	0.002408426	38700	Fractal Art/000000/PEACOCK_FAN_by_Jellaboom.jpg	101.677565	72.223444	33.433065	0.766291	0.265484	0.908743	1	0.156437	0.619029	0.606661	0.397311	0.044102	4.162172	58.045333	41	29.652604
180098784	n8iveattitude1	0.002570952	38981	Fractal Art/Raw Fractals/000000/escaping_to_the_top_by_n8iveattitude1-d2z8540.jpg	145.552678	160.471554	158.618744	0.349899	0.224933	0.354896	0.241176	0.305247	0.926044	0.793638	0.120798	0.039918	7.315746	154.925931	163	55.196354
