catpath,sex,count()
traditional/animations/colored,m,43
traditional/animations/penciltest,m,26
traditional/assemblage,m,1
traditional/bodyart/bodymods/adornment,m,9
traditional/bodyart/bodymods/ritual,m,8
traditional/bodyart/bodymods/scarbrand,m,1
traditional/bodyart/bodymods/tattoos,m,785
traditional/bodyart/cosmetic/bodypaint,m,189
traditional/bodyart/cosmetic/makeup,m,52
traditional/bodyart/cosmetic/makeup/character,m,12
traditional/bodyart/cosmetic/testing,m,1
traditional/bodyart/misc,m,1
traditional/collage,m,390
traditional/drawings/abstract,m,592
traditional/drawings/animals,m,746
traditional/drawings/fanart,m,802
traditional/drawings/fanart/cartoons,m,288
traditional/drawings/fanart/fancomics,m,113
traditional/drawings/fanart/games,m,110
traditional/drawings/fanart/misc,m,52
traditional/drawings/fanart/movies,m,83
traditional/drawings/fanart/novels,m,15
traditional/drawings/fantasy,m,2527
traditional/drawings/illustration/conceptual,m,469
traditional/drawings/illustration/storybook,m,153
traditional/drawings/landscapes,m,493
traditional/drawings/macabre,m,1062
traditional/drawings/misc,m,2375
traditional/drawings/people,m,2341
traditional/drawings/political,m,138
traditional/drawings/pop,m,235
traditional/drawings/portraits,m,3000
traditional/drawings/psychedelic,m,271
traditional/drawings/scifi,m,674
traditional/drawings/spaceart,m,7
traditional/drawings/still,m,292
traditional/drawings/surreal,m,1712
traditional/drawings/technical,m,309
traditional/drawings/unsorted,m,649
traditional/misc,m,969
traditional/mixedmedia,m,1707
traditional/mixedmedia/abstract,m,105
traditional/mixedmedia/animals,m,30
traditional/mixedmedia/conceptual,m,102
traditional/mixedmedia/emotional,m,21
traditional/mixedmedia/fantasy,m,28
traditional/mixedmedia/landscapes,m,26
traditional/mixedmedia/miscellaneous,m,199
traditional/mixedmedia/people,m,100
traditional/mixedmedia/scifi,m,26
traditional/paintings/abstract,m,1713
traditional/paintings/animals,m,472
traditional/paintings/fanart,m,46
traditional/paintings/fanart/books,m,9
traditional/paintings/fanart/games,m,8
traditional/paintings/fanart/misc,m,9
traditional/paintings/fanart/movies,m,7
traditional/paintings/fantasy,m,1196
traditional/paintings/illustration/conceptual,m,235
traditional/paintings/illustration/storybook,m,178
traditional/paintings/landscapes,m,1326
traditional/paintings/macabre,m,598
traditional/paintings/misc,m,1198
traditional/paintings/people,m,1570
traditional/paintings/political,m,101
traditional/paintings/pop,m,422
traditional/paintings/portraits,m,1249
traditional/paintings/psychedelic,m,217
traditional/paintings/scifi,m,187
traditional/paintings/spaceart,m,15
traditional/paintings/still,m,365
traditional/paintings/surreal,m,1894
traditional/printing,m,88
traditional/printing/drypoint,m,20
traditional/printing/monotype,m,21
traditional/printing/printing/collagraph,m,43
traditional/printing/printing/etching,m,119
traditional/printing/printing/lino,m,43
traditional/printing/printing/lithograph,m,32
traditional/printing/printing/silkscreen,m,75
traditional/printing/printing/woodblock,m,44
traditional/sculpture/abstract,m,197
traditional/sculpture/busts,m,192
traditional/sculpture/fantasy,m,738
traditional/sculpture/figurative,m,581
traditional/sculpture/lego,m,1
traditional/sculpture/minimal,m,26
traditional/sculpture/misc,m,432
traditional/sculpture/models,m,327
traditional/sculpture/surreal,m,224
traditional/streetart,m,545
traditional/streetart/freegraffiti/paintings,m,603
traditional/streetart/freegraffiti/streets,m,965
traditional/streetart/installations,m,59
traditional/streetart/misc,m,290
traditional/streetart/stencils,m,413
traditional/streetart/stickers,m,97
traditional/streetart/wheatpasting,m,77
traditional/typography/typography/calligraphy,m,447
traditional/typography/typography/stencil,m,17
