catpath	sex	count()
/artgroups/4x6/abstract	f	4
/artgroups/4x6/architecture	n	1
/artgroups/4x6/depression	m	2
/artgroups/4x6/depression	f	5
/artgroups/4x6/free	m	4
/artgroups/4x6/free	f	4
/artgroups/4x6/opposites	f	1
/artgroups/4x6/transportation	f	2
/artgroups/4x6/transportation	n	2
/artgroups/4x6/transportation	m	2
/artgroups/artpolitic/abortion	m	1
/artgroups/breed/amnion	n	3
/artgroups/breed/chrysalis	n	3
/artgroups/breed/helios	n	12
/artgroups/few/session01	m	1
/artgroups/ice/ice-apr01	n	5
/artgroups/ice/ice-feb01	n	3
/artgroups/ice/ice-jan01	n	6
/artgroups/ice/ice-jun01	n	6
/artgroups/ice/ice-mar01	n	3
/artgroups/ice/ice-may01	n	7
/artgroups/seire/pack002	n	8
/artgroups/seire/pack003	n	4
/artgroups/seire/pack004	n	7
/artgroups/seire/pack005	n	8
/artgroups/seire/pack006	n	4
/artgroups/seire/pack007	n	3
/artgroups/seire/pack008	n	3
/artgroups/seire/pack009	n	8
/artgroups/seire/pack010	n	8
/artgroups/seire/pack011	n	7
/artgroups/seire/pack012	n	14
/artgroups/seire/pack013	n	5
/artgroups/seire/pack014	n	7
/marketplace/music/aar	f	1
/marketplace/music/deadsy	m	1
/marketplace/music/donnas	f	1
/marketplace/music/eighteen	m	1
/marketplace/music/jurassic5	m	1
/marketplace/music/trapt	m	1
/mosaics	m	1
/mosaics/abstract	n	6
/mosaics/anime	n	1
/mosaics/misc	n	3
/mosaics/photography	n	2
/mosaics/photomanip	n	1
/mosaics/scifi	n	1
anthro/digital/3d	n	11
anthro/digital/3d	m	60
anthro/digital/3d	f	32
anthro/digital/drawings		211
anthro/digital/drawings	n	711
anthro/digital/drawings	m	1792
anthro/digital/drawings	o	10
anthro/digital/drawings	f	3459
anthro/digital/fanart	m	20
anthro/digital/fanart	n	5
anthro/digital/fanart	f	20
anthro/digital/horror	f	5
anthro/digital/horror	m	2
anthro/digital/misc		8
anthro/digital/misc	m	91
anthro/digital/misc	n	48
anthro/digital/misc	o	3
anthro/digital/misc	f	169
anthro/digital/oekaki	f	215
anthro/digital/oekaki	m	34
anthro/digital/oekaki	n	14
